"Transport_line","Transport_Time"
"0-10","9"
"0-11","5"
"0-12","7"
"0-13","14"
"0-14","18"
"0-15","17"
"0-16","19"
"0-17","16"
"0-18","13"
"0-19","5"
"0-20","19"
"0-21","13"
"0-22","16"
"0-23","20"
"0-24","13"
"0-25","5"
"0-5","11"
"0-6","18"
"0-7","7"
"0-8","17"
"0-9","7"
"1-10","12"
"1-11","14"
"1-12","9"
"1-13","18"
"1-14","14"
"1-15","8"
"1-16","13"
"1-17","18"
"1-18","7"
"1-19","9"
"1-20","20"
"1-21","12"
"1-22","5"
"1-23","7"
"1-24","14"
"1-25","5"
"1-5","20"
"1-6","16"
"1-7","14"
"1-8","18"
"1-9","15"
"10-12","8"
"10-13","12"
"10-14","7"
"10-15","18"
"10-16","12"
"10-17","9"
"10-18","5"
"10-19","10"
"10-20","9"
"10-21","6"
"10-22","7"
"10-23","9"
"10-24","13"
"10-25","19"
"11-12","12"
"11-13","17"
"11-14","6"
"11-15","13"
"11-16","18"
"11-17","7"
"11-18","16"
"11-19","14"
"11-20","8"
"11-21","11"
"11-22","11"
"11-23","19"
"11-24","6"
"11-25","11"
"12-17","16"
"12-18","18"
"12-19","11"
"12-20","5"
"12-21","5"
"12-22","11"
"12-23","7"
"12-24","12"
"12-25","15"
"13-17","14"
"13-18","11"
"13-19","13"
"13-20","8"
"13-21","13"
"13-22","13"
"13-23","19"
"13-24","18"
"13-25","19"
"14-17","16"
"14-18","7"
"14-19","11"
"14-20","6"
"14-21","20"
"14-22","12"
"14-23","17"
"14-24","9"
"14-25","9"
"15-17","10"
"15-18","7"
"15-19","6"
"15-20","10"
"15-21","9"
"15-22","8"
"15-23","10"
"15-24","8"
"15-25","17"
"16-17","11"
"16-18","16"
"16-19","20"
"16-20","15"
"16-21","8"
"16-22","18"
"16-23","18"
"16-24","10"
"16-25","11"
"17-22","13"
"17-23","10"
"17-24","7"
"17-25","6"
"18-22","5"
"18-23","16"
"18-24","10"
"18-25","12"
"19-22","9"
"19-23","6"
"19-24","14"
"19-25","11"
"2-10","19"
"2-11","13"
"2-12","5"
"2-13","8"
"2-14","10"
"2-15","6"
"2-16","14"
"2-17","13"
"2-18","8"
"2-19","18"
"2-20","19"
"2-21","16"
"2-22","9"
"2-23","16"
"2-24","8"
"2-25","19"
"2-5","9"
"2-6","20"
"2-7","19"
"2-8","17"
"2-9","5"
"20-22","8"
"20-23","17"
"20-24","7"
"20-25","9"
"21-22","5"
"21-23","9"
"21-24","5"
"21-25","19"
"3-10","10"
"3-11","7"
"3-12","17"
"3-13","6"
"3-14","16"
"3-15","5"
"3-16","12"
"3-17","18"
"3-18","17"
"3-19","5"
"3-20","18"
"3-21","12"
"3-22","16"
"3-23","16"
"3-24","10"
"3-25","13"
"3-5","7"
"3-6","13"
"3-7","5"
"3-8","17"
"3-9","20"
"4-10","8"
"4-11","5"
"4-12","20"
"4-13","6"
"4-14","20"
"4-15","10"
"4-16","20"
"4-17","5"
"4-18","18"
"4-19","12"
"4-20","9"
"4-21","17"
"4-22","16"
"4-23","15"
"4-24","12"
"4-25","11"
"4-5","19"
"4-6","19"
"4-7","9"
"4-8","6"
"4-9","7"
"5-10","20"
"5-11","16"
"5-12","19"
"5-13","20"
"5-14","6"
"5-15","14"
"5-16","9"
"5-17","17"
"5-18","14"
"5-19","20"
"5-20","11"
"5-21","11"
"5-22","15"
"5-23","10"
"5-24","5"
"5-25","17"
"5-8","9"
"5-9","20"
"6-10","13"
"6-11","9"
"6-12","7"
"6-13","12"
"6-14","17"
"6-15","18"
"6-16","17"
"6-17","15"
"6-18","17"
"6-19","7"
"6-20","18"
"6-21","7"
"6-22","8"
"6-23","7"
"6-24","19"
"6-25","10"
"6-8","7"
"6-9","17"
"7-10","11"
"7-11","16"
"7-12","8"
"7-13","7"
"7-14","7"
"7-15","18"
"7-16","14"
"7-17","12"
"7-18","12"
"7-19","18"
"7-20","17"
"7-21","13"
"7-22","11"
"7-23","12"
"7-24","12"
"7-25","9"
"7-8","17"
"7-9","19"
"8-12","7"
"8-13","11"
"8-14","10"
"8-15","9"
"8-16","20"
"8-17","14"
"8-18","17"
"8-19","19"
"8-20","16"
"8-21","12"
"8-22","12"
"8-23","14"
"8-24","6"
"8-25","7"
"9-12","9"
"9-13","6"
"9-14","16"
"9-15","13"
"9-16","5"
"9-17","18"
"9-18","13"
"9-19","20"
"9-20","5"
"9-21","20"
"9-22","20"
"9-23","7"
"9-24","6"
"9-25","17"
