"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"22","1","32","41","46"
"22","10","38","40","44"
"22","11","46","47","50"
"22","12","31","40","49"
"22","13","39","49","52"
"22","14","39","47","54"
"22","15","38","48","54"
"22","16","49","55","61"
"22","17","37","40","45"
"22","18","48","53","62"
"22","19","54","58","62"
"22","2","34","41","49"
"22","20","42","45","47"
"22","21","43","49","58"
"22","22","47","57","65"
"22","23","36","44","49"
"22","24","47","50","51"
"22","3","50","57","64"
"22","4","53","55","57"
"22","5","42","45","47"
"22","6","45","49","59"
"22","7","39","40","42"
"22","8","40","43","46"
"22","9","56","57","58"
"23","25","51","52","56"
"23","26","57","58","60"
"23","27","48","50","52"
"23","28","52","57","60"
"23","29","51","56","65"
"23","30","54","55","63"
"23","31","53","59","62"
"23","32","55","57","65"
"23","33","49","55","63"
"23","34","49","53","62"
"23","35","36","45","55"
"23","36","49","51","58"
"23","37","50","58","63"
"23","38","42","46","48"
"23","39","33","43","48"
"23","40","35","44","50"
"23","41","42","46","47"
"23","42","50","57","59"
"23","43","42","43","53"
"23","44","40","50","57"
"23","45","55","59","62"
"23","46","48","53","58"
"23","47","36","42","46"
"23","48","45","54","60"
"24","49","50","56","61"
"24","50","49","52","60"
"24","51","48","49","50"
"24","52","38","43","47"
"24","53","54","56","62"
"24","54","51","57","64"
"24","55","35","45","48"
"24","56","48","50","58"
"24","57","36","42","52"
"24","58","46","56","62"
"24","59","51","57","61"
"24","60","56","57","60"
"24","61","46","54","64"
"24","62","39","49","57"
"24","63","41","45","55"
"24","64","59","60","65"
"24","65","43","47","52"
"24","66","37","45","51"
"24","67","58","59","67"
"24","68","37","41","43"
"24","69","57","58","65"
"24","70","38","43","48"
"24","71","52","55","60"
"24","72","42","47","55"
"25","73","45","53","59"
"25","74","55","58","59"
"25","75","53","57","66"
"25","76","37","42","48"
"25","77","31","40","43"
"25","78","55","56","58"
"25","79","43","52","58"
"25","80","38","48","50"
"25","81","41","46","54"
"25","82","57","58","66"
"25","83","41","51","61"
"25","84","40","42","44"
"25","85","44","46","47"
"25","86","39","41","45"
"25","87","50","58","63"
"25","88","35","41","42"
"25","89","49","55","56"
"25","90","48","58","68"
"25","91","47","52","55"
"25","92","45","48","57"
"25","93","41","42","45"
"25","94","42","50","52"
"25","95","43","45","50"
"25","96","40","48","57"
