"Transport_line","Transport_Time"
"0-10","20"
"0-11","11"
"0-12","18"
"0-13","7"
"0-14","15"
"0-15","15"
"0-16","5"
"0-17","20"
"0-18","19"
"0-19","13"
"0-20","8"
"0-21","13"
"0-22","13"
"0-23","17"
"0-24","14"
"0-3","20"
"0-4","16"
"0-5","6"
"0-6","20"
"0-7","11"
"0-8","6"
"0-9","15"
"1-10","13"
"1-11","9"
"1-12","17"
"1-13","19"
"1-14","12"
"1-15","19"
"1-16","11"
"1-17","8"
"1-18","17"
"1-19","9"
"1-20","11"
"1-21","18"
"1-22","7"
"1-23","7"
"1-24","12"
"1-3","13"
"1-4","12"
"1-5","10"
"1-6","5"
"1-7","7"
"1-8","7"
"1-9","18"
"10-11","10"
"10-12","17"
"10-13","10"
"10-14","5"
"10-15","6"
"10-16","8"
"10-17","13"
"10-18","15"
"10-19","6"
"10-20","11"
"10-21","14"
"10-22","16"
"10-23","13"
"10-24","13"
"11-15","19"
"11-16","15"
"11-17","15"
"11-18","19"
"11-19","14"
"11-20","12"
"11-21","19"
"11-22","8"
"11-23","12"
"11-24","12"
"12-15","7"
"12-16","17"
"12-17","12"
"12-18","17"
"12-19","5"
"12-20","20"
"12-21","20"
"12-22","13"
"12-23","5"
"12-24","5"
"13-15","16"
"13-16","8"
"13-17","18"
"13-18","17"
"13-19","13"
"13-20","16"
"13-21","17"
"13-22","15"
"13-23","6"
"13-24","17"
"14-15","15"
"14-16","19"
"14-17","12"
"14-18","6"
"14-19","11"
"14-20","5"
"14-21","11"
"14-22","14"
"14-23","20"
"14-24","17"
"15-20","10"
"15-21","18"
"15-22","20"
"15-23","16"
"15-24","19"
"16-20","5"
"16-21","13"
"16-22","7"
"16-23","20"
"16-24","13"
"17-20","19"
"17-21","15"
"17-22","5"
"17-23","18"
"17-24","10"
"18-20","5"
"18-21","12"
"18-22","5"
"18-23","17"
"18-24","18"
"19-20","13"
"19-21","19"
"19-22","16"
"19-23","14"
"19-24","5"
"2-10","15"
"2-11","14"
"2-12","8"
"2-13","8"
"2-14","18"
"2-15","19"
"2-16","18"
"2-17","14"
"2-18","15"
"2-19","13"
"2-20","13"
"2-21","15"
"2-22","19"
"2-23","8"
"2-24","8"
"2-3","13"
"2-4","12"
"2-5","6"
"2-6","6"
"2-7","18"
"2-8","19"
"2-9","12"
"3-10","14"
"3-11","18"
"3-12","9"
"3-13","15"
"3-14","16"
"3-15","18"
"3-16","16"
"3-17","8"
"3-18","11"
"3-19","11"
"3-20","17"
"3-21","20"
"3-22","12"
"3-23","13"
"3-24","10"
"3-6","14"
"3-7","10"
"3-8","16"
"3-9","12"
"4-10","7"
"4-11","17"
"4-12","5"
"4-13","17"
"4-14","6"
"4-15","15"
"4-16","12"
"4-17","10"
"4-18","14"
"4-19","14"
"4-20","8"
"4-21","9"
"4-22","18"
"4-23","6"
"4-24","18"
"4-6","7"
"4-7","17"
"4-8","13"
"4-9","16"
"5-10","14"
"5-11","15"
"5-12","14"
"5-13","10"
"5-14","16"
"5-15","16"
"5-16","6"
"5-17","14"
"5-18","12"
"5-19","5"
"5-20","17"
"5-21","20"
"5-22","7"
"5-23","10"
"5-24","7"
"5-6","6"
"5-7","18"
"5-8","7"
"5-9","9"
"6-11","16"
"6-12","20"
"6-13","14"
"6-14","14"
"6-15","20"
"6-16","16"
"6-17","20"
"6-18","11"
"6-19","14"
"6-20","13"
"6-21","9"
"6-22","8"
"6-23","18"
"6-24","18"
"7-11","8"
"7-12","7"
"7-13","10"
"7-14","16"
"7-15","11"
"7-16","5"
"7-17","11"
"7-18","8"
"7-19","18"
"7-20","18"
"7-21","10"
"7-22","11"
"7-23","8"
"7-24","16"
"8-11","15"
"8-12","18"
"8-13","20"
"8-14","9"
"8-15","8"
"8-16","16"
"8-17","14"
"8-18","7"
"8-19","17"
"8-20","20"
"8-21","19"
"8-22","14"
"8-23","19"
"8-24","19"
"9-11","11"
"9-12","13"
"9-13","11"
"9-14","5"
"9-15","8"
"9-16","5"
"9-17","12"
"9-18","15"
"9-19","17"
"9-20","8"
"9-21","7"
"9-22","17"
"9-23","17"
"9-24","7"
