"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"20","1","41","51","53"
"20","10","50","56","64"
"20","11","31","41","48"
"20","12","41","43","51"
"20","13","34","43","46"
"20","14","44","51","57"
"20","15","41","48","50"
"20","16","37","41","48"
"20","17","39","46","55"
"20","18","45","51","55"
"20","2","54","60","70"
"20","3","59","60","66"
"20","4","33","41","48"
"20","5","39","49","57"
"20","6","37","42","43"
"20","7","56","57","63"
"20","8","46","48","56"
"20","9","43","53","60"
"21","19","55","57","60"
"21","20","39","47","56"
"21","21","52","56","57"
"21","22","32","42","43"
"21","23","43","44","47"
"21","24","36","43","45"
"21","25","46","55","62"
"21","26","40","47","48"
"21","27","45","55","65"
"21","28","46","52","56"
"21","29","48","58","68"
"21","30","44","46","49"
"21","31","37","44","47"
"21","32","49","59","61"
"21","33","55","58","65"
"21","34","40","49","57"
"21","35","53","59","64"
"21","36","50","57","59"
"22","37","52","58","67"
"22","38","47","52","56"
"22","39","43","49","55"
"22","40","34","44","50"
"22","41","42","48","53"
"22","42","59","60","70"
"22","43","54","60","67"
"22","44","47","56","65"
"22","45","54","60","69"
"22","46","43","44","50"
"22","47","52","59","67"
"22","48","44","45","46"
"22","49","49","54","57"
"22","50","37","44","53"
"22","51","49","56","62"
"22","52","49","50","55"
"22","53","35","45","48"
"22","54","38","47","51"
"23","55","49","56","60"
"23","56","37","43","44"
"23","57","42","49","56"
"23","58","46","50","59"
"23","59","51","52","56"
"23","60","38","45","52"
"23","61","47","55","63"
"23","62","56","58","67"
"23","63","55","60","69"
"23","64","39","45","51"
"23","65","44","47","56"
"23","66","38","47","54"
"23","67","48","55","62"
"23","68","49","50","53"
"23","69","47","50","56"
"23","70","51","57","67"
"23","71","51","58","66"
"23","72","41","48","55"
"24","73","33","42","45"
"24","74","45","50","55"
"24","75","55","58","60"
"24","76","51","55","65"
"24","77","38","43","44"
"24","78","33","40","45"
"24","79","53","58","64"
"24","80","38","48","50"
"24","81","54","60","64"
"24","82","37","44","52"
"24","83","39","41","45"
"24","84","57","59","68"
"24","85","53","59","60"
"24","86","54","55","56"
"24","87","45","53","61"
"24","88","31","41","43"
"24","89","37","40","41"
"24","90","39","46","55"
