"Transport_line","Transport_Time"
"0-10","8"
"0-11","12"
"0-12","20"
"0-13","5"
"0-14","7"
"0-15","15"
"0-16","17"
"0-17","14"
"0-18","11"
"0-19","9"
"0-20","10"
"0-21","20"
"0-3","11"
"0-4","12"
"0-5","13"
"0-6","12"
"0-7","11"
"0-8","8"
"0-9","10"
"1-10","7"
"1-11","6"
"1-12","5"
"1-13","5"
"1-14","15"
"1-15","15"
"1-16","5"
"1-17","17"
"1-18","18"
"1-19","20"
"1-20","11"
"1-21","19"
"1-3","20"
"1-4","15"
"1-5","8"
"1-6","12"
"1-7","17"
"1-8","17"
"1-9","6"
"10-13","16"
"10-14","13"
"10-15","10"
"10-16","8"
"10-17","17"
"10-18","12"
"10-19","20"
"10-20","17"
"10-21","9"
"11-13","9"
"11-14","17"
"11-15","12"
"11-16","16"
"11-17","9"
"11-18","5"
"11-19","14"
"11-20","10"
"11-21","15"
"12-13","15"
"12-14","20"
"12-15","10"
"12-16","8"
"12-17","16"
"12-18","15"
"12-19","18"
"12-20","7"
"12-21","12"
"13-17","15"
"13-18","14"
"13-19","12"
"13-20","18"
"13-21","15"
"14-17","18"
"14-18","11"
"14-19","9"
"14-20","17"
"14-21","16"
"15-17","10"
"15-18","11"
"15-19","11"
"15-20","15"
"15-21","10"
"16-17","7"
"16-18","19"
"16-19","8"
"16-20","10"
"16-21","17"
"2-10","17"
"2-11","9"
"2-12","8"
"2-13","16"
"2-14","12"
"2-15","18"
"2-16","17"
"2-17","16"
"2-18","19"
"2-19","7"
"2-20","18"
"2-21","14"
"2-3","19"
"2-4","13"
"2-5","12"
"2-6","7"
"2-7","13"
"2-8","8"
"2-9","19"
"3-10","17"
"3-11","10"
"3-12","17"
"3-13","5"
"3-14","13"
"3-15","10"
"3-16","9"
"3-17","12"
"3-18","16"
"3-19","14"
"3-20","7"
"3-21","17"
"3-8","20"
"3-9","17"
"4-10","9"
"4-11","11"
"4-12","7"
"4-13","11"
"4-14","19"
"4-15","12"
"4-16","17"
"4-17","20"
"4-18","5"
"4-19","9"
"4-20","6"
"4-21","7"
"4-8","19"
"4-9","8"
"5-10","8"
"5-11","11"
"5-12","19"
"5-13","20"
"5-14","15"
"5-15","8"
"5-16","20"
"5-17","6"
"5-18","11"
"5-19","15"
"5-20","13"
"5-21","17"
"5-8","11"
"5-9","11"
"6-10","12"
"6-11","12"
"6-12","19"
"6-13","7"
"6-14","16"
"6-15","6"
"6-16","13"
"6-17","16"
"6-18","17"
"6-19","13"
"6-20","14"
"6-21","13"
"6-8","8"
"6-9","11"
"7-10","12"
"7-11","12"
"7-12","7"
"7-13","15"
"7-14","11"
"7-15","14"
"7-16","13"
"7-17","10"
"7-18","7"
"7-19","6"
"7-20","7"
"7-21","10"
"7-8","14"
"7-9","15"
"8-13","16"
"8-14","14"
"8-15","6"
"8-16","10"
"8-17","5"
"8-18","10"
"8-19","10"
"8-20","12"
"8-21","5"
"9-13","17"
"9-14","6"
"9-15","8"
"9-16","17"
"9-17","10"
"9-18","18"
"9-19","5"
"9-20","6"
"9-21","19"
