"Transport_line","Transport_Time"
"0-10","16"
"0-11","13"
"0-12","13"
"0-13","11"
"0-14","18"
"0-15","6"
"0-16","5"
"0-17","6"
"0-18","9"
"0-19","12"
"0-20","16"
"0-21","11"
"0-22","17"
"0-3","14"
"0-4","11"
"0-5","8"
"0-6","17"
"0-7","7"
"0-8","17"
"0-9","15"
"1-10","11"
"1-11","5"
"1-12","19"
"1-13","8"
"1-14","7"
"1-15","18"
"1-16","12"
"1-17","10"
"1-18","15"
"1-19","6"
"1-20","11"
"1-21","16"
"1-22","10"
"1-3","11"
"1-4","9"
"1-5","13"
"1-6","20"
"1-7","8"
"1-8","17"
"1-9","9"
"10-13","8"
"10-14","12"
"10-15","20"
"10-16","7"
"10-17","15"
"10-18","19"
"10-19","18"
"10-20","18"
"10-21","11"
"10-22","19"
"11-13","14"
"11-14","9"
"11-15","19"
"11-16","15"
"11-17","16"
"11-18","20"
"11-19","20"
"11-20","13"
"11-21","20"
"11-22","13"
"12-13","9"
"12-14","12"
"12-15","13"
"12-16","12"
"12-17","14"
"12-18","8"
"12-19","9"
"12-20","5"
"12-21","20"
"12-22","12"
"13-16","7"
"13-17","16"
"13-18","7"
"13-19","8"
"13-20","7"
"13-21","10"
"13-22","15"
"14-16","19"
"14-17","17"
"14-18","10"
"14-19","20"
"14-20","18"
"14-21","8"
"14-22","7"
"15-16","6"
"15-17","9"
"15-18","16"
"15-19","8"
"15-20","11"
"15-21","17"
"15-22","14"
"16-20","11"
"16-21","10"
"16-22","11"
"17-20","15"
"17-21","10"
"17-22","7"
"18-20","20"
"18-21","12"
"18-22","10"
"19-20","16"
"19-21","10"
"19-22","12"
"2-10","11"
"2-11","6"
"2-12","16"
"2-13","17"
"2-14","19"
"2-15","14"
"2-16","6"
"2-17","20"
"2-18","11"
"2-19","5"
"2-20","9"
"2-21","6"
"2-22","6"
"2-3","15"
"2-4","5"
"2-5","8"
"2-6","15"
"2-7","6"
"2-8","11"
"2-9","14"
"3-10","12"
"3-11","13"
"3-12","13"
"3-13","7"
"3-14","8"
"3-15","12"
"3-16","7"
"3-17","15"
"3-18","16"
"3-19","14"
"3-20","16"
"3-21","9"
"3-22","18"
"3-6","14"
"3-7","14"
"3-8","20"
"3-9","14"
"4-10","19"
"4-11","12"
"4-12","19"
"4-13","8"
"4-14","15"
"4-15","6"
"4-16","16"
"4-17","6"
"4-18","6"
"4-19","19"
"4-20","16"
"4-21","8"
"4-22","8"
"4-6","13"
"4-7","7"
"4-8","10"
"4-9","10"
"5-10","11"
"5-11","16"
"5-12","20"
"5-13","14"
"5-14","13"
"5-15","7"
"5-16","10"
"5-17","17"
"5-18","13"
"5-19","6"
"5-20","19"
"5-21","16"
"5-22","10"
"5-6","5"
"5-7","7"
"5-8","20"
"5-9","20"
"6-10","14"
"6-11","15"
"6-12","17"
"6-13","6"
"6-14","8"
"6-15","16"
"6-16","12"
"6-17","10"
"6-18","12"
"6-19","18"
"6-20","16"
"6-21","9"
"6-22","18"
"7-10","10"
"7-11","7"
"7-12","19"
"7-13","8"
"7-14","17"
"7-15","11"
"7-16","11"
"7-17","19"
"7-18","19"
"7-19","9"
"7-20","10"
"7-21","9"
"7-22","18"
"8-10","5"
"8-11","5"
"8-12","15"
"8-13","17"
"8-14","14"
"8-15","13"
"8-16","14"
"8-17","14"
"8-18","19"
"8-19","6"
"8-20","11"
"8-21","15"
"8-22","6"
"9-10","10"
"9-11","7"
"9-12","17"
"9-13","16"
"9-14","14"
"9-15","20"
"9-16","13"
"9-17","5"
"9-18","6"
"9-19","10"
"9-20","12"
"9-21","9"
"9-22","20"
