"ChargeID","CastID","CC","ChargeRoute"
"1","1","20","0-1-2-3-4-5-6"
"2","1","20","0-2-3-4-5-6"
"3","1","20","1-3-4-5-6"
"4","1","20","0-1-2-3-4-5-6"
"5","1","20","0-1-3-5-6"
"6","1","20","0-3-4-5-6"
"7","1","20","0-1-3-6"
"8","2","20","0-1-2-3-4-5-6"
"9","2","20","0-1-2-3-4-5-6"
"10","2","20","0-1-2-4-6"
"11","2","20","0-1-2-3-4-5-6"
"12","2","20","0-1-3-4-5-6"
"13","2","20","0-1-3-4-5-6"
"14","2","20","0-1-2-3-4-6"
"15","3","21","0-2-3-4-5-6"
"16","3","21","0-1-2-3-5-6"
"17","3","21","2-3-4-6"
"18","3","21","0-2-4-5-6"
"19","3","21","0-1-2-3-4-6"
"20","3","21","0-1-3-5-6"
"21","3","21","1-3-5-6"
"22","4","21","2-3-4-5-6"
"23","4","21","0-2-3-5-6"
"24","4","21","0-1-3-4-5-6"
"25","4","21","0-1-2-3-4-6"
"26","4","21","0-1-3-4-6"
"27","4","21","0-1-2-3-4-5-6"
"28","4","21","0-1-2-3-6"
"29","5","22","0-2-3-4-6"
"30","5","22","1-2-3-5-6"
"31","5","22","0-1-2-4-5-6"
"32","5","22","0-1-2-3-4-6"
"33","5","22","0-1-3-4-6"
"34","5","22","0-1-3-4-5-6"
"35","5","22","0-3-4-6"
"36","6","22","0-1-4-5-6"
"37","6","22","2-3-4-5-6"
"38","6","22","0-1-2-3-5-6"
"39","6","22","0-2-3-4-5-6"
"40","6","22","0-2-5-6"
"41","6","22","0-1-2-3-6"
