"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"20","1","37","42","45"
"20","10","41","45","52"
"20","11","31","41","49"
"20","12","50","57","58"
"20","13","36","46","50"
"20","14","39","42","51"
"20","2","31","41","51"
"20","3","50","51","54"
"20","4","37","44","49"
"20","5","36","45","53"
"20","6","44","54","58"
"20","7","52","54","60"
"20","8","37","42","44"
"20","9","51","57","60"
"21","15","34","43","53"
"21","16","53","55","59"
"21","17","54","56","62"
"21","18","50","55","63"
"21","19","36","40","48"
"21","20","35","42","48"
"21","21","39","41","45"
"21","22","50","58","68"
"21","23","37","41","50"
"21","24","56","57","60"
"21","25","32","42","48"
"21","26","50","57","64"
"21","27","42","44","50"
"21","28","49","55","60"
"22","29","50","55","60"
"22","30","34","44","53"
"22","31","43","52","57"
"22","32","39","46","53"
"22","33","46","55","65"
"22","34","42","49","50"
"22","35","47","57","64"
"22","36","52","58","67"
"22","37","50","55","61"
"22","38","51","58","63"
"22","39","36","45","55"
"22","40","32","40","41"
"22","41","39","42","49"
"22","42","46","48","50"
