"Transport_line","Transport_Time"
"0-10","19"
"0-11","7"
"0-12","5"
"0-13","15"
"0-14","19"
"0-15","19"
"0-16","9"
"0-17","16"
"0-18","18"
"0-19","13"
"0-20","14"
"0-21","19"
"0-5","17"
"0-6","12"
"0-7","9"
"0-8","6"
"0-9","12"
"1-10","11"
"1-11","18"
"1-12","9"
"1-13","15"
"1-14","10"
"1-15","5"
"1-16","18"
"1-17","11"
"1-18","16"
"1-19","7"
"1-20","16"
"1-21","6"
"1-5","10"
"1-6","18"
"1-7","18"
"1-8","6"
"1-9","15"
"10-13","10"
"10-14","11"
"10-15","9"
"10-16","12"
"10-17","15"
"10-18","18"
"10-19","13"
"10-20","17"
"10-21","11"
"11-13","16"
"11-14","20"
"11-15","16"
"11-16","20"
"11-17","13"
"11-18","16"
"11-19","17"
"11-20","7"
"11-21","8"
"12-13","10"
"12-14","6"
"12-15","7"
"12-16","19"
"12-17","6"
"12-18","7"
"12-19","5"
"12-20","14"
"12-21","7"
"13-18","12"
"13-19","16"
"13-20","9"
"13-21","16"
"14-18","10"
"14-19","15"
"14-20","20"
"14-21","11"
"15-18","18"
"15-19","13"
"15-20","10"
"15-21","12"
"16-18","6"
"16-19","19"
"16-20","13"
"16-21","8"
"17-18","13"
"17-19","13"
"17-20","19"
"17-21","19"
"2-10","7"
"2-11","12"
"2-12","20"
"2-13","7"
"2-14","10"
"2-15","9"
"2-16","8"
"2-17","8"
"2-18","15"
"2-19","18"
"2-20","20"
"2-21","10"
"2-5","18"
"2-6","9"
"2-7","15"
"2-8","11"
"2-9","13"
"3-10","15"
"3-11","5"
"3-12","14"
"3-13","5"
"3-14","13"
"3-15","13"
"3-16","8"
"3-17","18"
"3-18","18"
"3-19","10"
"3-20","11"
"3-21","11"
"3-5","7"
"3-6","17"
"3-7","13"
"3-8","13"
"3-9","17"
"4-10","9"
"4-11","14"
"4-12","20"
"4-13","6"
"4-14","16"
"4-15","16"
"4-16","14"
"4-17","8"
"4-18","13"
"4-19","6"
"4-20","16"
"4-21","19"
"4-5","5"
"4-6","11"
"4-7","12"
"4-8","13"
"4-9","13"
"5-10","8"
"5-11","12"
"5-12","8"
"5-13","13"
"5-14","20"
"5-15","8"
"5-16","18"
"5-17","16"
"5-18","5"
"5-19","16"
"5-20","15"
"5-21","13"
"6-10","17"
"6-11","12"
"6-12","19"
"6-13","5"
"6-14","10"
"6-15","13"
"6-16","14"
"6-17","10"
"6-18","11"
"6-19","14"
"6-20","14"
"6-21","17"
"7-10","17"
"7-11","10"
"7-12","19"
"7-13","11"
"7-14","12"
"7-15","14"
"7-16","19"
"7-17","20"
"7-18","6"
"7-19","17"
"7-20","14"
"7-21","11"
"8-10","19"
"8-11","17"
"8-12","5"
"8-13","19"
"8-14","10"
"8-15","15"
"8-16","6"
"8-17","10"
"8-18","19"
"8-19","14"
"8-20","11"
"8-21","8"
"9-10","17"
"9-11","7"
"9-12","20"
"9-13","10"
"9-14","18"
"9-15","17"
"9-16","18"
"9-17","16"
"9-18","20"
"9-19","16"
"9-20","6"
"9-21","19"
