"ChargeID","CastID","CC","ChargeRoute"
"1","1","18","1-2-3-4"
"2","1","18","0-1-4"
"3","1","18","1-3-4"
"4","1","18","1-2-3-4"
"5","1","18","0-1-2-3-4"
"6","1","18","2-3-4"
"7","2","18","0-1-4"
"8","2","18","1-2-4"
"9","2","18","0-1-2-4"
"10","2","18","0-1-2-3-4"
"11","2","18","2-3-4"
"12","2","18","0-1-2-3-4"
"13","3","18","0-2-3-4"
"14","3","18","2-3-4"
"15","3","18","0-2-3-4"
"16","3","18","0-3-4"
"17","3","18","0-1-2-3-4"
"18","3","18","0-3-4"
"19","4","19","0-1-2-3-4"
"20","4","19","1-2-4"
"21","4","19","1-2-4"
"22","4","19","0-1-4"
"23","4","19","0-1-3-4"
"24","4","19","0-3-4"
"25","5","19","0-1-4"
"26","5","19","0-1-2-3-4"
"27","5","19","0-1-2-4"
"28","5","19","2-3-4"
"29","5","19","2-3-4"
"30","5","19","1-2-4"
"31","6","19","1-2-3-4"
"32","6","19","0-3-4"
"33","6","19","1-2-3-4"
"34","6","19","0-1-4"
"35","6","19","2-3-4"
"36","6","19","0-2-3-4"
"37","7","20","0-1-2-3-4"
"38","7","20","0-3-4"
"39","7","20","0-1-2-3-4"
"40","7","20","1-3-4"
"41","7","20","2-3-4"
"42","7","20","2-3-4"
"43","8","20","0-1-2-3-4"
"44","8","20","0-2-3-4"
"45","8","20","0-1-3-4"
"46","8","20","1-2-3-4"
"47","8","20","0-2-3-4"
"48","8","20","0-1-3-4"
"49","9","20","2-3-4"
"50","9","20","0-1-2-3-4"
"51","9","20","1-3-4"
"52","9","20","1-2-4"
"53","9","20","0-1-4"
"54","9","20","0-2-3-4"
"55","10","21","0-1-4"
"56","10","21","1-3-4"
"57","10","21","0-2-3-4"
"58","10","21","0-1-2-4"
"59","10","21","0-1-2-3-4"
"60","10","21","0-1-3-4"
"61","11","21","0-1-2-3-4"
"62","11","21","0-2-3-4"
"63","11","21","0-1-2-3-4"
"64","11","21","2-3-4"
"65","11","21","0-1-2-3-4"
"66","11","21","1-2-4"
"67","12","21","0-1-2-3-4"
"68","12","21","1-3-4"
"69","12","21","0-1-2-3-4"
"70","12","21","0-2-3-4"
"71","12","21","0-1-2-3-4"
