"Transport_line","Transport_Time"
"0-10","16"
"0-11","5"
"0-12","12"
"0-13","20"
"0-14","6"
"0-15","17"
"0-16","12"
"0-17","20"
"0-5","14"
"0-6","18"
"0-7","9"
"0-8","17"
"0-9","6"
"1-10","18"
"1-11","20"
"1-12","16"
"1-13","17"
"1-14","18"
"1-15","8"
"1-16","9"
"1-17","12"
"1-5","19"
"1-6","17"
"1-7","8"
"1-8","18"
"1-9","19"
"10-15","11"
"10-16","6"
"10-17","20"
"11-15","11"
"11-16","15"
"11-17","8"
"12-15","14"
"12-16","7"
"12-17","14"
"13-15","5"
"13-16","15"
"13-17","14"
"14-15","8"
"14-16","7"
"14-17","5"
"2-10","6"
"2-11","10"
"2-12","8"
"2-13","14"
"2-14","13"
"2-15","11"
"2-16","17"
"2-17","16"
"2-5","18"
"2-6","17"
"2-7","19"
"2-8","13"
"2-9","10"
"3-10","8"
"3-11","9"
"3-12","14"
"3-13","5"
"3-14","15"
"3-15","6"
"3-16","15"
"3-17","8"
"3-5","15"
"3-6","14"
"3-7","17"
"3-8","6"
"3-9","9"
"4-10","9"
"4-11","16"
"4-12","18"
"4-13","9"
"4-14","12"
"4-15","13"
"4-16","17"
"4-17","9"
"4-5","15"
"4-6","5"
"4-7","18"
"4-8","13"
"4-9","12"
"5-10","18"
"5-11","6"
"5-12","19"
"5-13","5"
"5-14","20"
"5-15","7"
"5-16","16"
"5-17","13"
"6-10","11"
"6-11","16"
"6-12","9"
"6-13","18"
"6-14","10"
"6-15","9"
"6-16","9"
"6-17","19"
"7-10","17"
"7-11","19"
"7-12","9"
"7-13","6"
"7-14","16"
"7-15","17"
"7-16","20"
"7-17","10"
"8-10","9"
"8-11","7"
"8-12","11"
"8-13","10"
"8-14","10"
"8-15","17"
"8-16","9"
"8-17","5"
"9-10","9"
"9-11","8"
"9-12","9"
"9-13","12"
"9-14","16"
"9-15","17"
"9-16","7"
"9-17","11"
