"ChargeID","CastID","CC","ChargeRoute"
"1","1","19","0-1-3-4-5"
"2","1","19","1-2-5"
"3","1","19","0-1-4-5"
"4","1","19","0-1-2-3-4-5"
"5","1","19","0-1-2-3-4-5"
"6","1","19","0-1-3-5"
"7","1","19","1-2-3-5"
"8","2","19","0-1-2-3-4-5"
"9","2","19","1-2-3-5"
"10","2","19","0-1-4-5"
"11","2","19","0-1-2-3-4-5"
"12","2","19","0-1-4-5"
"13","2","19","1-2-3-4-5"
"14","2","19","0-3-4-5"
"15","3","20","1-4-5"
"16","3","20","2-3-4-5"
"17","3","20","0-1-2-3-4-5"
"18","3","20","0-1-2-3-4-5"
"19","3","20","0-1-2-3-4-5"
"20","3","20","1-2-3-4-5"
"21","3","20","0-1-2-3-4-5"
"22","4","20","0-2-3-5"
"23","4","20","1-3-4-5"
"24","4","20","0-3-4-5"
"25","4","20","0-1-3-4-5"
"26","4","20","0-1-2-5"
"27","4","20","0-2-3-4-5"
"28","4","20","0-1-4-5"
"29","5","21","2-3-4-5"
"30","5","21","1-2-3-4-5"
"31","5","21","0-1-4-5"
"32","5","21","0-1-2-3-4-5"
"33","5","21","0-1-2-4-5"
"34","5","21","0-1-2-4-5"
"35","5","21","1-2-4-5"
"36","6","21","1-2-3-5"
"37","6","21","0-3-4-5"
"38","6","21","0-1-2-3-5"
"39","6","21","1-2-3-4-5"
"40","6","21","0-1-2-3-4-5"
"41","6","21","1-2-3-4-5"
"42","6","21","0-1-3-5"
"43","7","22","1-3-4-5"
"44","7","22","0-2-3-4-5"
"45","7","22","0-1-3-5"
"46","7","22","1-2-4-5"
"47","7","22","1-2-3-4-5"
"48","7","22","0-1-2-3-4-5"
"49","7","22","0-2-3-4-5"
"50","8","22","0-2-3-4-5"
"51","8","22","0-1-2-3-5"
"52","8","22","0-2-3-4-5"
"53","8","22","1-2-5"
"54","8","22","1-2-3-5"
"55","8","22","0-2-3-4-5"
