"Transport_line","Transport_Time"
"0-10","15"
"0-11","18"
"0-12","7"
"0-13","10"
"0-14","9"
"0-15","17"
"0-16","13"
"0-17","20"
"0-18","17"
"0-19","20"
"0-20","11"
"0-21","18"
"0-22","6"
"0-23","6"
"0-24","17"
"0-25","14"
"0-26","14"
"0-27","7"
"0-28","16"
"0-4","11"
"0-5","15"
"0-6","15"
"0-7","11"
"0-8","16"
"0-9","7"
"1-10","7"
"1-11","15"
"1-12","11"
"1-13","10"
"1-14","9"
"1-15","10"
"1-16","11"
"1-17","10"
"1-18","5"
"1-19","10"
"1-20","11"
"1-21","7"
"1-22","7"
"1-23","14"
"1-24","16"
"1-25","18"
"1-26","5"
"1-27","20"
"1-28","20"
"1-4","14"
"1-5","8"
"1-6","12"
"1-7","6"
"1-8","9"
"1-9","14"
"10-12","20"
"10-13","7"
"10-14","7"
"10-15","16"
"10-16","9"
"10-17","16"
"10-18","7"
"10-19","10"
"10-20","12"
"10-21","11"
"10-22","11"
"10-23","14"
"10-24","15"
"10-25","19"
"10-26","18"
"10-27","13"
"10-28","17"
"11-12","10"
"11-13","20"
"11-14","19"
"11-15","18"
"11-16","16"
"11-17","18"
"11-18","7"
"11-19","9"
"11-20","20"
"11-21","15"
"11-22","5"
"11-23","19"
"11-24","11"
"11-25","15"
"11-26","14"
"11-27","13"
"11-28","15"
"12-17","15"
"12-18","14"
"12-19","19"
"12-20","9"
"12-21","5"
"12-22","14"
"12-23","10"
"12-24","17"
"12-25","9"
"12-26","10"
"12-27","11"
"12-28","5"
"13-17","20"
"13-18","6"
"13-19","17"
"13-20","9"
"13-21","7"
"13-22","13"
"13-23","6"
"13-24","14"
"13-25","16"
"13-26","11"
"13-27","8"
"13-28","6"
"14-17","9"
"14-18","11"
"14-19","18"
"14-20","7"
"14-21","17"
"14-22","19"
"14-23","8"
"14-24","14"
"14-25","16"
"14-26","15"
"14-27","18"
"14-28","5"
"15-17","5"
"15-18","11"
"15-19","13"
"15-20","8"
"15-21","17"
"15-22","5"
"15-23","14"
"15-24","5"
"15-25","9"
"15-26","18"
"15-27","9"
"15-28","19"
"16-17","8"
"16-18","16"
"16-19","17"
"16-20","20"
"16-21","20"
"16-22","11"
"16-23","17"
"16-24","13"
"16-25","18"
"16-26","20"
"16-27","10"
"16-28","5"
"17-20","12"
"17-21","15"
"17-22","14"
"17-23","12"
"17-24","18"
"17-25","12"
"17-26","12"
"17-27","15"
"17-28","15"
"18-20","9"
"18-21","13"
"18-22","9"
"18-23","13"
"18-24","6"
"18-25","15"
"18-26","12"
"18-27","11"
"18-28","8"
"19-20","15"
"19-21","16"
"19-22","14"
"19-23","18"
"19-24","12"
"19-25","11"
"19-26","6"
"19-27","17"
"19-28","10"
"2-10","19"
"2-11","13"
"2-12","10"
"2-13","20"
"2-14","19"
"2-15","20"
"2-16","19"
"2-17","15"
"2-18","5"
"2-19","20"
"2-20","14"
"2-21","10"
"2-22","10"
"2-23","13"
"2-24","13"
"2-25","5"
"2-26","8"
"2-27","11"
"2-28","8"
"2-4","16"
"2-5","5"
"2-6","9"
"2-7","8"
"2-8","8"
"2-9","15"
"20-25","18"
"20-26","19"
"20-27","7"
"20-28","5"
"21-25","14"
"21-26","7"
"21-27","10"
"21-28","6"
"22-25","19"
"22-26","14"
"22-27","14"
"22-28","11"
"23-25","13"
"23-26","11"
"23-27","16"
"23-28","17"
"24-25","12"
"24-26","20"
"24-27","20"
"24-28","5"
"3-10","6"
"3-11","8"
"3-12","11"
"3-13","11"
"3-14","20"
"3-15","13"
"3-16","7"
"3-17","6"
"3-18","15"
