"ChargeID","CastID","CC","ChargeRoute"
"1","1","25","1-2-4-5-6"
"2","1","25","0-1-3-6"
"3","1","25","1-2-3-4-6"
"4","1","25","1-2-3-5-6"
"5","1","25","1-2-3-6"
"6","1","25","1-3-4-6"
"7","2","25","0-2-3-4-5-6"
"8","2","25","2-3-4-5-6"
"9","2","25","1-4-5-6"
"10","2","25","1-2-3-5-6"
"11","2","25","0-1-2-3-6"
"12","2","25","1-2-3-4-5-6"
"13","3","25","0-1-2-5-6"
"14","3","25","0-4-5-6"
"15","3","25","2-4-6"
"16","3","25","0-2-6"
"17","3","25","1-2-3-4-6"
"18","3","25","0-1-2-3-4-6"
"19","4","25","3-5-6"
"20","4","25","0-1-2-3-4-5-6"
"21","4","25","2-5-6"
"22","4","25","1-2-5-6"
"23","4","25","0-1-2-3-4-5-6"
"24","4","25","1-2-4-5-6"
"25","5","26","0-2-3-4-5-6"
"26","5","26","1-3-4-5-6"
"27","5","26","0-1-3-4-5-6"
"28","5","26","0-1-2-3-4-6"
"29","5","26","0-1-3-4-5-6"
"30","5","26","0-1-2-4-5-6"
"31","6","26","0-3-4-5-6"
"32","6","26","0-3-5-6"
"33","6","26","0-1-3-5-6"
"34","6","26","1-2-3-5-6"
"35","6","26","0-2-3-4-5-6"
"36","6","26","0-1-4-5-6"
"37","7","26","0-1-2-4-5-6"
"38","7","26","2-4-5-6"
"39","7","26","0-1-2-3-4-5-6"
"40","7","26","0-1-2-5-6"
"41","7","26","0-1-2-4-6"
"42","7","26","0-1-2-3-5-6"
"43","8","26","0-1-2-4-5-6"
"44","8","26","1-2-3-5-6"
"45","8","26","0-1-2-3-6"
"46","8","26","2-3-5-6"
"47","8","26","0-1-2-3-4-5-6"
"48","8","26","0-1-3-5-6"
"49","9","27","0-2-3-4-5-6"
"50","9","27","0-1-2-4-6"
"51","9","27","2-4-5-6"
"52","9","27","0-2-3-4-5-6"
"53","9","27","1-2-5-6"
"54","9","27","1-2-3-4-5-6"
"55","10","27","0-1-2-3-4-6"
"56","10","27","0-1-2-3-4-6"
"57","10","27","1-2-3-6"
"58","10","27","0-1-2-4-5-6"
"59","10","27","0-1-2-3-5-6"
"60","10","27","0-2-3-4-6"
"61","11","27","2-3-4-6"
"62","11","27","0-1-3-4-5-6"
"63","11","27","0-1-2-3-4-5-6"
"64","11","27","1-2-4-6"
"65","11","27","0-1-2-4-5-6"
"66","11","27","1-3-5-6"
"67","12","27","1-3-4-6"
"68","12","27","0-1-3-4-5-6"
"69","12","27","0-3-4-5-6"
"70","12","27","0-2-3-4-5-6"
"71","12","27","1-5-6"
"72","12","27","0-2-3-4-6"
"73","13","28","1-2-3-4-5-6"
"74","13","28","0-2-3-6"
"75","13","28","0-2-3-4-6"
"76","13","28","0-1-4-5-6"
"77","13","28","0-1-2-3-4-6"
"78","13","28","1-2-4-6"
"79","14","28","0-1-2-3-5-6"
"80","14","28","0-1-3-5-6"
"81","14","28","1-4-5-6"
"82","14","28","0-1-4-5-6"
"83","14","28","1-2-3-4-6"
"84","14","28","0-1-2-3-4-5-6"
"85","15","28","0-1-2-4-5-6"
"86","15","28","0-1-2-3-6"
"87","15","28","0-1-3-4-6"
"88","15","28","0-1-2-4-6"
"89","15","28","0-1-2-3-4-5-6"
"90","15","28","2-3-4-5-6"
"91","16","28","0-1-2-3-6"
"92","16","28","0-1-2-4-5-6"
"93","16","28","0-1-5-6"
"94","16","28","2-4-5-6"
"95","16","28","0-1-2-3-4-5-6"
