"Transport_line","Transport_Time"
"0-10","19"
"0-11","10"
"0-5","6"
"0-6","6"
"0-7","12"
"0-8","7"
"0-9","19"
"1-10","17"
"1-11","14"
"1-5","19"
"1-6","11"
"1-7","10"
"1-8","12"
"1-9","20"
"2-10","9"
"2-11","9"
"2-5","13"
"2-6","11"
"2-7","18"
"2-8","8"
"2-9","17"
"3-10","15"
"3-11","6"
"3-5","13"
"3-6","10"
"3-7","8"
"3-8","14"
"3-9","15"
"4-10","17"
"4-11","16"
"4-5","15"
"4-6","7"
"4-7","9"
"4-8","19"
"4-9","18"
"5-10","9"
"5-11","8"
"5-9","14"
"6-10","10"
"6-11","7"
"6-9","6"
"7-10","18"
"7-11","7"
"7-9","20"
"8-10","17"
"8-11","15"
"8-9","18"
