"ChargeID","CastID","CC","ChargeRoute"
"1","1","9","0-1-2"
"2","1","9","0-1-2"
"3","1","9","0-1-2"
"4","1","9","0-1-2"
"5","1","9","0-1-2"
"6","1","9","0-1-2"
"7","2","9","0-1-2"
"8","2","9","0-1-2"
"9","2","9","0-1-2"
"10","2","9","0-1-2"
"11","2","9","0-1-2"
"12","2","9","0-1-2"
"13","3","9","0-1-2"
"14","3","9","0-1-2"
"15","3","9","0-1-2"
"16","3","9","0-1-2"
"17","3","9","0-1-2"
"18","3","9","0-1-2"
"19","4","10","0-1-2"
"20","4","10","0-1-2"
"21","4","10","0-1-2"
"22","4","10","0-1-2"
"23","4","10","0-1-2"
"24","4","10","0-1-2"
"25","5","10","0-1-2"
"26","5","10","0-1-2"
"27","5","10","0-1-2"
"28","5","10","0-1-2"
"29","5","10","0-1-2"
"30","5","10","0-1-2"
"31","6","10","0-1-2"
"32","6","10","0-1-2"
"33","6","10","0-1-2"
"34","6","10","0-1-2"
"35","6","10","0-1-2"
"36","6","10","0-1-2"
"37","7","11","0-1-2"
"38","7","11","0-1-2"
"39","7","11","0-1-2"
"40","7","11","0-1-2"
"41","7","11","0-1-2"
"42","7","11","0-1-2"
"43","8","11","0-1-2"
"44","8","11","0-1-2"
"45","8","11","0-1-2"
"46","8","11","0-1-2"
"47","8","11","0-1-2"
"48","8","11","0-1-2"
"49","9","11","0-1-2"
"50","9","11","0-1-2"
"51","9","11","0-1-2"
"52","9","11","0-1-2"
"53","9","11","0-1-2"
