"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"9","1","39","47","53"
"9","10","51","55","63"
"9","11","32","40","47"
"9","12","47","53","61"
"9","13","43","50","59"
"9","14","50","60","61"
"9","15","45","48","50"
"9","16","39","49","57"
"9","17","40","47","55"
"9","18","55","59","66"
"9","2","33","42","49"
"9","3","44","48","52"
"9","4","51","58","66"
"9","5","39","43","48"
"9","6","48","50","54"
"9","7","52","58","65"
"9","8","38","47","49"
"9","9","40","48","55"
"10","19","36","44","52"
"10","20","54","60","61"
"10","21","41","47","51"
"10","22","57","60","62"
"10","23","46","48","50"
"10","24","41","44","51"
"10","25","38","47","56"
"10","26","50","51","57"
"10","27","58","60","68"
"10","28","43","50","54"
"10","29","44","52","56"
"10","30","38","43","45"
"10","31","44","48","51"
"10","32","44","51","53"
"10","33","38","43","45"
"10","34","51","54","60"
"10","35","33","41","50"
"10","36","47","56","57"
"11","37","54","60","63"
"11","38","37","41","44"
"11","39","47","48","58"
"11","40","50","57","63"
"11","41","46","50","55"
"11","42","46","48","56"
"11","43","40","47","50"
"11","44","45","52","55"
"11","45","50","56","62"
"11","46","47","53","54"
"11","47","43","50","58"
"11","48","53","59","68"
"11","49","45","49","57"
"11","50","38","40","43"
"11","51","44","47","53"
"11","52","38","41","47"
"11","53","54","55","62"
"11","54","45","48","52"
