"Transport_line","Transport_Time"
"0-10","8"
"0-11","17"
"0-12","20"
"0-13","5"
"0-14","10"
"0-15","5"
"0-16","19"
"0-17","10"
"0-18","19"
"0-19","8"
"0-3","10"
"0-4","5"
"0-5","18"
"0-6","5"
"0-7","15"
"0-8","7"
"0-9","11"
"1-10","7"
"1-11","8"
"1-12","5"
"1-13","15"
"1-14","12"
"1-15","8"
"1-16","11"
"1-17","12"
"1-18","10"
"1-19","16"
"1-3","8"
"1-4","13"
"1-5","17"
"1-6","9"
"1-7","10"
"1-8","9"
"1-9","18"
"10-11","9"
"10-12","15"
"10-13","14"
"10-14","11"
"10-15","19"
"10-16","17"
"10-17","8"
"10-18","12"
"10-19","6"
"11-14","8"
"11-15","18"
"11-16","6"
"11-17","18"
"11-18","7"
"11-19","15"
"12-14","16"
"12-15","18"
"12-16","9"
"12-17","18"
"12-18","16"
"12-19","7"
"13-14","15"
"13-15","19"
"13-16","15"
"13-17","20"
"13-18","10"
"13-19","18"
"14-17","12"
"14-18","11"
"14-19","12"
"15-17","12"
"15-18","19"
"15-19","9"
"16-17","10"
"16-18","13"
"16-19","15"
"2-10","16"
"2-11","11"
"2-12","6"
"2-13","13"
"2-14","14"
"2-15","10"
"2-16","13"
"2-17","17"
"2-18","11"
"2-19","15"
"2-3","10"
"2-4","13"
"2-5","5"
"2-6","9"
"2-7","8"
"2-8","11"
"2-9","17"
"3-10","14"
"3-11","16"
"3-12","7"
"3-13","17"
"3-14","8"
"3-15","14"
"3-16","5"
"3-17","10"
"3-18","19"
"3-19","14"
"3-8","13"
"3-9","20"
"4-10","5"
"4-11","7"
"4-12","6"
"4-13","6"
"4-14","9"
"4-15","10"
"4-16","11"
"4-17","6"
"4-18","15"
"4-19","9"
"4-8","13"
"4-9","13"
"5-10","18"
"5-11","17"
"5-12","16"
"5-13","16"
"5-14","11"
"5-15","9"
"5-16","14"
"5-17","14"
"5-18","20"
"5-19","16"
"5-8","15"
"5-9","19"
"6-10","16"
"6-11","18"
"6-12","10"
"6-13","9"
"6-14","9"
"6-15","12"
"6-16","11"
"6-17","10"
"6-18","10"
"6-19","16"
"6-8","13"
"6-9","18"
"7-10","15"
"7-11","11"
"7-12","18"
"7-13","7"
"7-14","9"
"7-15","5"
"7-16","10"
"7-17","14"
"7-18","6"
"7-19","8"
"7-8","10"
"7-9","11"
"8-11","19"
"8-12","13"
"8-13","16"
"8-14","5"
"8-15","13"
"8-16","15"
"8-17","20"
"8-18","19"
"8-19","15"
"9-11","20"
"9-12","7"
"9-13","9"
"9-14","6"
"9-15","18"
"9-16","20"
"9-17","14"
"9-18","13"
"9-19","9"
