"MachineID","EAT"
"0","2016-02-16 08:13:00"
"1","2016-02-16 08:03:00"
"2","2016-02-16 08:03:00"
"3","2016-02-16 08:14:00"
"4","2016-02-16 08:10:00"
"5","2016-02-16 08:13:00"
"6","2016-02-16 08:20:00"
"7","2016-02-16 08:20:00"
"8","2016-02-16 08:14:00"
"9","2016-02-16 08:06:00"
"10","2016-02-16 08:00:00"
"11","2016-02-16 08:18:00"
"12","2016-02-16 08:10:00"
"13","2016-02-16 08:18:00"
"14","2016-02-16 08:17:00"
"15","2016-02-16 08:00:00"
"16","2016-02-16 08:15:00"
"17","2016-02-16 08:19:00"
"18","2016-02-16 08:20:00"
"19","2016-02-16 08:12:00"
