"Transport_line","Transport_Time"
"0-10","11"
"0-11","13"
"0-12","19"
"0-13","16"
"0-14","10"
"0-15","6"
"0-16","9"
"0-17","17"
"0-3","14"
"0-4","14"
"0-5","11"
"0-6","11"
"0-7","7"
"0-8","16"
"0-9","13"
"1-10","9"
"1-11","18"
"1-12","13"
"1-13","5"
"1-14","16"
"1-15","9"
"1-16","17"
"1-17","13"
"1-3","18"
"1-4","17"
"1-5","13"
"1-6","10"
"1-7","18"
"1-8","18"
"1-9","13"
"10-13","12"
"10-14","12"
"10-15","8"
"10-16","13"
"10-17","14"
"11-13","15"
"11-14","15"
"11-15","5"
"11-16","7"
"11-17","18"
"12-13","8"
"12-14","15"
"12-15","17"
"12-16","8"
"12-17","12"
"2-10","17"
"2-11","13"
"2-12","15"
"2-13","10"
"2-14","18"
"2-15","17"
"2-16","19"
"2-17","12"
"2-3","13"
"2-4","15"
"2-5","7"
"2-6","7"
"2-7","13"
"2-8","15"
"2-9","11"
"3-10","14"
"3-11","5"
"3-12","10"
"3-13","16"
"3-14","11"
"3-15","6"
"3-16","15"
"3-17","6"
"3-8","18"
"3-9","8"
"4-10","9"
"4-11","17"
"4-12","16"
"4-13","13"
"4-14","9"
"4-15","16"
"4-16","10"
"4-17","14"
"4-8","12"
"4-9","9"
"5-10","16"
"5-11","9"
"5-12","6"
"5-13","18"
"5-14","17"
"5-15","14"
"5-16","12"
"5-17","13"
"5-8","10"
"5-9","16"
"6-10","17"
"6-11","16"
"6-12","11"
"6-13","8"
"6-14","6"
"6-15","11"
"6-16","5"
"6-17","8"
"6-8","10"
"6-9","7"
"7-10","7"
"7-11","15"
"7-12","13"
"7-13","17"
"7-14","10"
"7-15","16"
"7-16","13"
"7-17","6"
"7-8","8"
"7-9","14"
"8-13","9"
"8-14","9"
"8-15","15"
"8-16","12"
"8-17","5"
"9-13","8"
"9-14","7"
"9-15","6"
"9-16","8"
"9-17","17"
