"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"13","1","43","51","56"
"13","10","39","46","55"
"13","11","54","58","64"
"13","12","38","44","51"
"13","13","51","57","59"
"13","14","41","46","55"
"13","15","36","42","51"
"13","16","36","40","45"
"13","17","50","57","58"
"13","18","42","43","46"
"13","19","50","51","56"
"13","2","37","40","48"
"13","20","41","50","56"
"13","21","40","48","51"
"13","3","56","59","63"
"13","4","58","60","63"
"13","5","42","52","61"
"13","6","45","54","59"
"13","7","32","41","51"
"13","8","50","56","57"
"13","9","41","46","51"
"14","22","44","45","46"
"14","23","44","49","59"
"14","24","49","54","57"
"14","25","40","43","48"
"14","26","41","49","55"
"14","27","45","52","60"
"14","28","46","51","56"
"14","29","35","41","51"
"14","30","31","41","48"
"14","31","42","50","52"
"14","32","33","43","44"
"14","33","38","43","44"
"14","34","50","60","61"
"14","35","48","58","61"
"14","36","36","43","47"
"14","37","35","42","45"
"14","38","46","52","57"
"14","39","42","50","59"
"14","40","55","56","60"
"14","41","46","48","55"
"14","42","41","45","48"
"15","43","41","49","51"
"15","44","45","50","56"
"15","45","42","52","55"
"15","46","40","50","52"
"15","47","49","56","63"
"15","48","41","50","57"
"15","49","40","41","42"
"15","50","45","50","56"
"15","51","49","58","61"
"15","52","39","49","53"
"15","53","43","48","56"
"15","54","50","54","57"
"15","55","55","58","61"
"15","56","33","42","46"
"15","57","44","50","59"
"15","58","38","47","51"
"15","59","38","45","52"
"15","60","52","58","60"
"15","61","41","50","54"
"15","62","45","48","56"
"15","63","43","49","52"
"16","64","38","48","56"
"16","65","33","42","43"
"16","66","52","59","64"
"16","67","51","58","62"
"16","68","32","41","51"
"16","69","31","40","50"
"16","70","41","49","59"
"16","71","42","52","54"
"16","72","43","46","47"
"16","73","40","48","54"
"16","74","49","50","52"
"16","75","48","56","65"
"16","76","49","59","66"
"16","77","50","52","58"
"16","78","40","46","54"
"16","79","45","48","52"
"16","80","39","45","46"
"16","81","41","50","51"
"16","82","45","46","48"
"16","83","46","53","56"
"16","84","39","49","59"
"17","100","50","52","61"
"17","101","37","46","50"
"17","102","37","44","53"
"17","103","55","57","59"
"17","104","48","49","55"
"17","105","35","40","45"
"17","85","45","48","58"
"17","86","54","59","63"
"17","87","42","50","54"
"17","88","44","45","52"
"17","89","36","46","56"
"17","90","48","50","60"
"17","91","40","50","55"
"17","92","42","52","53"
"17","93","40","49","56"
"17","94","36","44","49"
"17","95","48","49","52"
"17","96","55","56","60"
"17","97","48","51","61"
"17","98","43","45","54"
"17","99","40","42","48"
