"ChargeID","CastID","CC","ChargeRoute"
"1","1","13","0-1-2-3"
"2","1","13","1-2-3"
"3","1","13","0-1-3"
"4","1","13","1-2-3"
"5","1","13","0-1-3"
"6","1","13","1-2-3"
"7","1","13","0-1-3"
"8","2","13","1-2-3"
"9","2","13","0-1-3"
"10","2","13","1-2-3"
"11","2","13","0-2-3"
"12","2","13","0-1-3"
"13","2","13","0-1-3"
"14","2","13","0-2-3"
"15","3","13","1-2-3"
"16","3","13","0-1-2-3"
"17","3","13","1-2-3"
"18","3","13","1-2-3"
"19","3","13","0-1-2-3"
"20","3","13","0-2-3"
"21","3","13","0-1-2-3"
"22","4","14","0-1-2-3"
"23","4","14","0-1-2-3"
"24","4","14","0-2-3"
"25","4","14","1-2-3"
"26","4","14","0-1-2-3"
"27","4","14","1-2-3"
"28","4","14","1-2-3"
"29","5","14","0-1-2-3"
"30","5","14","0-1-2-3"
"31","5","14","0-1-2-3"
"32","5","14","0-2-3"
"33","5","14","0-2-3"
"34","5","14","0-1-2-3"
"35","5","14","1-2-3"
"36","6","14","1-2-3"
"37","6","14","0-1-3"
"38","6","14","0-1-3"
"39","6","14","0-1-2-3"
"40","6","14","1-2-3"
"41","6","14","1-2-3"
"42","6","14","1-2-3"
"43","7","15","0-1-2-3"
"44","7","15","0-1-3"
"45","7","15","1-2-3"
"46","7","15","0-1-2-3"
"47","7","15","0-1-3"
"48","7","15","0-2-3"
"49","7","15","0-1-2-3"
"50","8","15","0-1-2-3"
"51","8","15","0-1-3"
"52","8","15","1-2-3"
"53","8","15","1-2-3"
"54","8","15","1-2-3"
"55","8","15","1-2-3"
"56","8","15","0-1-2-3"
"57","9","15","1-2-3"
"58","9","15","0-1-3"
"59","9","15","0-1-2-3"
"60","9","15","1-2-3"
"61","9","15","0-1-3"
"62","9","15","0-1-2-3"
"63","9","15","0-1-3"
"64","10","16","0-1-2-3"
"65","10","16","0-2-3"
"66","10","16","0-2-3"
"67","10","16","0-2-3"
"68","10","16","0-1-2-3"
"69","10","16","0-1-2-3"
"70","10","16","0-1-2-3"
"71","11","16","1-2-3"
"72","11","16","1-2-3"
"73","11","16","0-1-2-3"
"74","11","16","1-2-3"
"75","11","16","1-2-3"
"76","11","16","0-1-2-3"
"77","11","16","0-2-3"
"78","12","16","1-2-3"
"79","12","16","1-2-3"
"80","12","16","1-2-3"
"81","12","16","0-2-3"
"82","12","16","0-2-3"
"83","12","16","0-1-2-3"
"84","12","16","0-2-3"
"85","13","17","0-1-3"
"86","13","17","0-1-3"
"87","13","17","0-1-3"
"88","13","17","0-1-2-3"
"89","13","17","0-1-3"
"90","13","17","0-2-3"
"91","13","17","0-1-2-3"
"92","14","17","1-2-3"
"93","14","17","0-2-3"
"94","14","17","0-2-3"
"95","14","17","1-2-3"
"96","14","17","1-2-3"
"97","14","17","0-1-3"
"98","14","17","0-1-3"
"99","15","17","0-1-2-3"
"100","15","17","0-1-2-3"
"101","15","17","1-2-3"
"102","15","17","0-1-3"
"103","15","17","0-2-3"
"104","15","17","0-1-2-3"
