"Transport_line","Transport_Time"
"0-10","10"
"0-11","11"
"0-12","10"
"0-13","9"
"0-14","5"
"0-15","7"
"0-16","12"
"0-17","15"
"0-18","20"
"0-19","5"
"0-20","20"
"0-5","19"
"0-6","7"
"0-7","19"
"0-8","18"
"0-9","12"
"1-10","14"
"1-11","18"
"1-12","6"
"1-13","11"
"1-14","12"
"1-15","11"
"1-16","9"
"1-17","18"
"1-18","12"
"1-19","11"
"1-20","12"
"1-5","20"
"1-6","9"
"1-7","14"
"1-8","18"
"1-9","14"
"10-13","11"
"10-14","8"
"10-15","16"
"10-16","13"
"10-17","14"
"10-18","17"
"10-19","16"
"10-20","12"
"11-13","14"
"11-14","20"
"11-15","15"
"11-16","10"
"11-17","10"
"11-18","20"
"11-19","19"
"11-20","14"
"12-13","7"
"12-14","17"
"12-15","14"
"12-16","8"
"12-17","6"
"12-18","12"
"12-19","12"
"12-20","5"
"13-16","19"
"13-17","12"
"13-18","7"
"13-19","14"
"13-20","14"
"14-16","16"
"14-17","19"
"14-18","18"
"14-19","15"
"14-20","6"
"15-16","7"
"15-17","6"
"15-18","6"
"15-19","12"
"15-20","8"
"2-10","19"
"2-11","9"
"2-12","6"
"2-13","17"
"2-14","8"
"2-15","16"
"2-16","16"
"2-17","7"
"2-18","16"
"2-19","11"
"2-20","9"
"2-5","10"
"2-6","11"
"2-7","7"
"2-8","20"
"2-9","10"
"3-10","17"
"3-11","19"
"3-12","12"
"3-13","8"
"3-14","17"
"3-15","12"
"3-16","18"
"3-17","9"
"3-18","10"
"3-19","8"
"3-20","11"
"3-5","19"
"3-6","7"
"3-7","6"
"3-8","9"
"3-9","14"
"4-10","18"
"4-11","6"
"4-12","7"
"4-13","12"
"4-14","17"
"4-15","20"
"4-16","17"
"4-17","7"
"4-18","19"
"4-19","9"
"4-20","20"
"4-5","11"
"4-6","20"
"4-7","13"
"4-8","18"
"4-9","6"
"5-10","13"
"5-11","19"
"5-12","15"
"5-13","16"
"5-14","14"
"5-15","6"
"5-16","9"
"5-17","11"
"5-18","17"
"5-19","13"
"5-20","14"
"5-9","15"
"6-10","20"
"6-11","18"
"6-12","20"
"6-13","12"
"6-14","10"
"6-15","12"
"6-16","19"
"6-17","8"
"6-18","14"
"6-19","9"
"6-20","20"
"6-9","12"
"7-10","9"
"7-11","12"
"7-12","8"
"7-13","6"
"7-14","6"
"7-15","8"
"7-16","13"
"7-17","16"
"7-18","20"
"7-19","14"
"7-20","13"
"7-9","18"
"8-10","12"
"8-11","19"
"8-12","7"
"8-13","14"
"8-14","20"
"8-15","6"
"8-16","18"
"8-17","19"
"8-18","18"
"8-19","17"
"8-20","15"
"8-9","12"
"9-13","7"
"9-14","5"
"9-15","13"
"9-16","15"
"9-17","8"
"9-18","16"
"9-19","11"
"9-20","5"
