"ChargeID","CastID","CC","ChargeRoute"
"1","1","16","0-2-3-4"
"2","1","16","0-3-4"
"3","1","16","1-2-4"
"4","1","16","0-1-2-3-4"
"5","1","16","0-1-2-4"
"6","1","16","0-1-3-4"
"7","1","16","0-2-3-4"
"8","2","16","1-3-4"
"9","2","16","0-2-3-4"
"10","2","16","0-1-2-4"
"11","2","16","0-1-2-3-4"
"12","2","16","0-1-4"
"13","2","16","0-1-2-4"
"14","2","16","0-1-2-4"
"15","3","16","0-2-3-4"
"16","3","16","0-1-3-4"
"17","3","16","0-3-4"
"18","3","16","0-1-2-3-4"
"19","3","16","0-1-2-3-4"
"20","3","16","0-1-3-4"
"21","3","16","0-2-4"
"22","4","17","0-2-3-4"
"23","4","17","0-1-3-4"
"24","4","17","0-1-3-4"
"25","4","17","2-3-4"
"26","4","17","0-1-2-3-4"
"27","4","17","0-1-2-4"
"28","4","17","2-3-4"
"29","5","17","1-2-3-4"
"30","5","17","0-1-3-4"
"31","5","17","1-2-3-4"
"32","5","17","0-1-2-3-4"
"33","5","17","0-2-4"
"34","5","17","0-1-3-4"
"35","5","17","0-3-4"
"36","6","17","1-2-3-4"
"37","6","17","0-1-2-3-4"
"38","6","17","0-1-2-3-4"
"39","6","17","0-1-2-3-4"
"40","6","17","1-3-4"
"41","6","17","1-2-4"
"42","6","17","1-2-3-4"
"43","7","18","0-1-2-3-4"
"44","7","18","0-2-3-4"
"45","7","18","1-2-3-4"
"46","7","18","0-1-2-3-4"
"47","7","18","0-2-3-4"
"48","7","18","0-2-4"
"49","7","18","1-2-3-4"
"50","8","18","0-1-2-4"
"51","8","18","0-2-3-4"
"52","8","18","0-1-2-3-4"
"53","8","18","0-1-2-3-4"
"54","8","18","2-3-4"
"55","8","18","0-1-2-3-4"
"56","8","18","0-1-4"
"57","9","18","1-2-3-4"
"58","9","18","0-1-2-4"
"59","9","18","1-2-4"
"60","9","18","0-1-2-3-4"
"61","9","18","0-2-3-4"
"62","9","18","0-2-4"
"63","9","18","0-1-3-4"
"64","10","19","0-2-3-4"
"65","10","19","0-1-2-3-4"
"66","10","19","0-1-2-3-4"
"67","10","19","0-1-3-4"
"68","10","19","0-1-2-3-4"
"69","10","19","1-3-4"
"70","10","19","2-3-4"
"71","11","19","1-2-3-4"
"72","11","19","0-1-2-3-4"
"73","11","19","0-1-2-3-4"
"74","11","19","2-3-4"
"75","11","19","0-3-4"
"76","11","19","0-1-2-3-4"
"77","11","19","2-3-4"
"78","12","19","0-2-4"
"79","12","19","0-2-3-4"
"80","12","19","1-2-3-4"
"81","12","19","0-1-2-3-4"
"82","12","19","0-3-4"
"83","12","19","1-2-4"
"84","12","19","0-1-3-4"
"85","13","20","0-1-3-4"
"86","13","20","2-3-4"
"87","13","20","0-1-2-3-4"
"88","13","20","0-1-2-3-4"
"89","13","20","0-2-3-4"
"90","13","20","1-2-3-4"
"91","13","20","0-1-4"
"92","14","20","0-3-4"
"93","14","20","0-1-2-3-4"
"94","14","20","0-2-3-4"
"95","14","20","1-2-3-4"
"96","14","20","0-1-3-4"
"97","14","20","0-1-2-4"
"98","14","20","0-3-4"
"99","15","20","0-3-4"
"100","15","20","0-1-3-4"
"101","15","20","0-2-4"
"102","15","20","0-1-2-3-4"
"103","15","20","0-2-3-4"
"104","15","20","1-2-3-4"
