"Transport_line","Transport_Time"
"0-10","7"
"0-11","14"
"0-12","18"
"0-13","14"
"0-14","17"
"0-15","16"
"0-5","12"
"0-6","14"
"0-7","18"
"0-8","12"
"0-9","14"
"1-10","10"
"1-11","11"
"1-12","16"
"1-13","8"
"1-14","8"
"1-15","17"
"1-5","11"
"1-6","6"
"1-7","16"
"1-8","14"
"1-9","6"
"10-13","13"
"10-14","9"
"10-15","16"
"11-13","10"
"11-14","14"
"11-15","7"
"12-13","11"
"12-14","20"
"12-15","15"
"2-10","15"
"2-11","16"
"2-12","20"
"2-13","16"
"2-14","17"
"2-15","16"
"2-5","7"
"2-6","17"
"2-7","19"
"2-8","16"
"2-9","14"
"3-10","18"
"3-11","9"
"3-12","12"
"3-13","17"
"3-14","9"
"3-15","13"
"3-5","14"
"3-6","10"
"3-7","15"
"3-8","15"
"3-9","5"
"4-10","12"
"4-11","18"
"4-12","16"
"4-13","11"
"4-14","8"
"4-15","17"
"4-5","10"
"4-6","5"
"4-7","13"
"4-8","13"
"4-9","7"
"5-10","19"
"5-11","7"
"5-12","17"
"5-13","18"
"5-14","15"
"5-15","7"
"5-9","7"
"6-10","5"
"6-11","8"
"6-12","11"
"6-13","7"
"6-14","6"
"6-15","6"
"6-9","6"
"7-10","20"
"7-11","8"
"7-12","17"
"7-13","8"
"7-14","8"
"7-15","12"
"7-9","15"
"8-10","16"
"8-11","11"
"8-12","6"
"8-13","13"
"8-14","16"
"8-15","12"
"8-9","7"
"9-13","14"
"9-14","9"
"9-15","14"
