"Transport_line","Transport_Time"
"0-10","9"
"0-11","11"
"0-12","8"
"0-4","16"
"0-5","20"
"0-6","18"
"0-7","12"
"0-8","15"
"0-9","17"
"1-10","12"
"1-11","10"
"1-12","15"
"1-4","8"
"1-5","19"
"1-6","11"
"1-7","5"
"1-8","5"
"1-9","13"
"2-10","7"
"2-11","13"
"2-12","12"
"2-4","18"
"2-5","8"
"2-6","6"
"2-7","10"
"2-8","19"
"2-9","11"
"3-10","14"
"3-11","6"
"3-12","8"
"3-4","5"
"3-5","12"
"3-6","7"
"3-7","5"
"3-8","13"
"3-9","14"
"4-10","8"
"4-11","14"
"4-12","10"
"4-9","17"
"5-10","13"
"5-11","6"
"5-12","13"
"5-9","7"
"6-10","12"
"6-11","17"
"6-12","16"
"6-9","7"
"7-10","14"
"7-11","7"
"7-12","17"
"7-9","12"
"8-10","8"
"8-11","18"
"8-12","14"
"8-9","16"
