"Transport_line","Transport_Time"
"0-10","16"
"0-11","10"
"0-12","11"
"0-13","12"
"0-14","10"
"0-15","16"
"0-16","15"
"0-17","15"
"0-18","8"
"0-5","20"
"0-6","12"
"0-7","11"
"0-8","5"
"0-9","17"
"1-10","16"
"1-11","9"
"1-12","13"
"1-13","7"
"1-14","9"
"1-15","17"
"1-16","18"
"1-17","15"
"1-18","11"
"1-5","19"
"1-6","16"
"1-7","11"
"1-8","8"
"1-9","8"
"10-12","13"
"10-13","9"
"10-14","9"
"10-15","15"
"10-16","11"
"10-17","14"
"10-18","12"
"11-12","17"
"11-13","9"
"11-14","15"
"11-15","17"
"11-16","13"
"11-17","18"
"11-18","19"
"12-16","17"
"12-17","9"
"12-18","10"
"13-16","5"
"13-17","11"
"13-18","7"
"14-16","11"
"14-17","8"
"14-18","9"
"15-16","10"
"15-17","9"
"15-18","8"
"2-10","9"
"2-11","18"
"2-12","5"
"2-13","5"
"2-14","15"
"2-15","20"
"2-16","9"
"2-17","15"
"2-18","19"
"2-5","11"
"2-6","14"
"2-7","10"
"2-8","9"
"2-9","5"
"3-10","19"
"3-11","11"
"3-12","7"
"3-13","10"
"3-14","16"
"3-15","12"
"3-16","12"
"3-17","17"
"3-18","8"
"3-5","20"
"3-6","7"
"3-7","8"
"3-8","5"
"3-9","17"
"4-10","17"
"4-11","8"
"4-12","12"
"4-13","7"
"4-14","20"
"4-15","17"
"4-16","15"
"4-17","10"
"4-18","8"
"4-5","12"
"4-6","17"
"4-7","15"
"4-8","17"
"4-9","13"
"5-10","20"
"5-11","19"
"5-12","17"
"5-13","20"
"5-14","5"
"5-15","7"
"5-16","17"
"5-17","16"
"5-18","17"
"5-8","15"
"5-9","5"
"6-10","14"
"6-11","5"
"6-12","9"
"6-13","15"
"6-14","11"
"6-15","14"
"6-16","13"
"6-17","12"
"6-18","14"
"6-8","7"
"6-9","7"
"7-10","12"
"7-11","12"
"7-12","18"
"7-13","20"
"7-14","14"
"7-15","11"
"7-16","9"
"7-17","20"
"7-18","18"
"7-8","7"
"7-9","13"
"8-12","8"
"8-13","20"
"8-14","19"
"8-15","16"
"8-16","13"
"8-17","13"
"8-18","6"
"9-12","11"
"9-13","13"
"9-14","19"
"9-15","17"
"9-16","7"
"9-17","18"
"9-18","12"
