"MachineID","EAT"
"0","2016-02-16 08:05:00"
"1","2016-02-16 08:10:00"
"2","2016-02-16 08:15:00"
"3","2016-02-16 08:12:00"
"4","2016-02-16 08:11:00"
"5","2016-02-16 08:02:00"
"6","2016-02-16 08:20:00"
"7","2016-02-16 08:03:00"
"8","2016-02-16 08:07:00"
"9","2016-02-16 08:08:00"
"10","2016-02-16 08:03:00"
"11","2016-02-16 08:04:00"
"12","2016-02-16 08:15:00"
"13","2016-02-16 08:16:00"
"14","2016-02-16 08:13:00"
"15","2016-02-16 08:08:00"
"16","2016-02-16 08:00:00"
"17","2016-02-16 08:07:00"
"18","2016-02-16 08:05:00"
