"ChargeID","CastID","CC","ChargeRoute"
"1","1","16","0-1-3-4"
"2","1","16","0-1-2-4"
"3","1","16","0-2-4"
"4","1","16","1-2-3-4"
"5","1","16","1-2-4"
"6","1","16","0-2-3-4"
"7","2","16","0-1-2-3-4"
"8","2","16","1-2-4"
"9","2","16","0-3-4"
"10","2","16","0-3-4"
"11","2","16","0-3-4"
"12","2","16","2-3-4"
"13","3","17","1-2-4"
"14","3","17","0-1-2-4"
"15","3","17","0-3-4"
"16","3","17","1-2-3-4"
"17","3","17","1-2-3-4"
"18","3","17","0-1-3-4"
"19","4","17","0-1-3-4"
"20","4","17","1-2-4"
"21","4","17","0-1-2-3-4"
"22","4","17","1-2-3-4"
"23","4","17","0-1-2-3-4"
"24","4","17","0-1-2-4"
"25","5","18","0-1-2-4"
"26","5","18","0-1-2-4"
"27","5","18","1-2-4"
"28","5","18","0-1-3-4"
"29","5","18","0-2-3-4"
"30","5","18","0-1-3-4"
"31","6","18","1-2-4"
"32","6","18","1-2-3-4"
"33","6","18","0-1-3-4"
"34","6","18","0-1-2-3-4"
"35","6","18","0-1-2-4"
