"Transport_line","Transport_Time"
"0-10","5"
"0-11","8"
"0-12","13"
"0-13","18"
"0-14","5"
"0-15","9"
"0-16","8"
"0-17","10"
"0-3","13"
"0-4","11"
"0-5","6"
"0-6","20"
"0-7","11"
"0-8","18"
"0-9","6"
"1-10","7"
"1-11","18"
"1-12","9"
"1-13","14"
"1-14","18"
"1-15","10"
"1-16","8"
"1-17","19"
"1-3","6"
"1-4","7"
"1-5","8"
"1-6","9"
"1-7","9"
"1-8","15"
"1-9","6"
"10-14","11"
"10-15","20"
"10-16","14"
"10-17","18"
"11-14","16"
"11-15","6"
"11-16","18"
"11-17","16"
"12-14","18"
"12-15","10"
"12-16","8"
"12-17","11"
"13-14","12"
"13-15","17"
"13-16","9"
"13-17","5"
"2-10","6"
"2-11","7"
"2-12","6"
"2-13","6"
"2-14","10"
"2-15","19"
"2-16","14"
"2-17","7"
"2-3","15"
"2-4","19"
"2-5","17"
"2-6","6"
"2-7","11"
"2-8","17"
"2-9","15"
"3-10","8"
"3-11","14"
"3-12","6"
"3-13","5"
"3-14","7"
"3-15","5"
"3-16","13"
"3-17","9"
"3-6","13"
"3-7","9"
"3-8","13"
"3-9","20"
"4-10","9"
"4-11","11"
"4-12","17"
"4-13","9"
"4-14","5"
"4-15","19"
"4-16","6"
"4-17","8"
"4-6","5"
"4-7","5"
"4-8","15"
"4-9","17"
"5-10","5"
"5-11","8"
"5-12","10"
"5-13","13"
"5-14","13"
"5-15","6"
"5-16","12"
"5-17","9"
"5-6","12"
"5-7","19"
"5-8","5"
"5-9","11"
"6-10","17"
"6-11","10"
"6-12","15"
"6-13","19"
"6-14","12"
"6-15","18"
"6-16","11"
"6-17","20"
"7-10","14"
"7-11","15"
"7-12","12"
"7-13","20"
"7-14","14"
"7-15","10"
"7-16","11"
"7-17","13"
"8-10","18"
"8-11","5"
"8-12","13"
"8-13","14"
"8-14","12"
"8-15","19"
"8-16","11"
"8-17","13"
"9-10","6"
"9-11","10"
"9-12","18"
"9-13","17"
"9-14","18"
"9-15","8"
"9-16","11"
"9-17","14"
