"ChargeID","CastID","CC","ChargeRoute"
"1","1","14","2-3-4"
"2","1","14","0-2-4"
"3","1","14","1-2-3-4"
"4","1","14","0-2-3-4"
"5","1","14","2-3-4"
"6","1","14","0-1-2-3-4"
"7","2","14","0-2-3-4"
"8","2","14","0-1-3-4"
"9","2","14","0-2-3-4"
"10","2","14","1-2-4"
"11","2","14","0-2-3-4"
"12","2","14","0-1-2-3-4"
"13","3","14","0-1-2-3-4"
"14","3","14","0-1-2-3-4"
"15","3","14","0-1-2-4"
"16","3","14","0-1-2-3-4"
"17","3","14","0-1-2-3-4"
"18","3","14","1-3-4"
"19","4","14","1-2-3-4"
"20","4","14","1-2-3-4"
"21","4","14","0-1-4"
"22","4","14","0-1-2-4"
"23","4","14","0-1-3-4"
"24","4","14","1-3-4"
"25","5","15","1-3-4"
"26","5","15","2-3-4"
"27","5","15","0-2-3-4"
"28","5","15","1-3-4"
"29","5","15","0-2-3-4"
"30","5","15","0-1-2-3-4"
"31","6","15","0-1-2-3-4"
"32","6","15","1-2-3-4"
"33","6","15","0-1-2-3-4"
"34","6","15","0-2-3-4"
"35","6","15","0-1-3-4"
"36","6","15","0-1-2-3-4"
"37","7","15","0-2-3-4"
"38","7","15","0-2-4"
"39","7","15","0-3-4"
"40","7","15","1-2-3-4"
"41","7","15","0-1-4"
"42","7","15","0-3-4"
"43","8","15","0-1-3-4"
"44","8","15","0-2-3-4"
"45","8","15","0-2-4"
"46","8","15","0-3-4"
"47","8","15","0-1-3-4"
"48","8","15","0-1-2-3-4"
"49","9","16","0-1-2-3-4"
"50","9","16","2-3-4"
"51","9","16","0-2-3-4"
"52","9","16","2-3-4"
"53","9","16","0-1-2-3-4"
"54","9","16","0-1-4"
"55","10","16","0-1-2-3-4"
"56","10","16","0-1-2-4"
"57","10","16","0-3-4"
"58","10","16","0-2-3-4"
"59","10","16","0-1-2-3-4"
"60","10","16","0-1-2-3-4"
"61","11","16","0-2-4"
"62","11","16","1-2-3-4"
"63","11","16","0-1-2-3-4"
"64","11","16","1-2-3-4"
"65","11","16","0-2-4"
"66","11","16","0-2-3-4"
"67","12","16","0-1-2-4"
"68","12","16","0-2-3-4"
"69","12","16","0-1-2-3-4"
"70","12","16","0-1-2-4"
"71","12","16","0-1-4"
"72","12","16","0-1-2-3-4"
"73","13","17","0-2-3-4"
"74","13","17","0-2-3-4"
"75","13","17","0-1-2-3-4"
"76","13","17","0-1-2-3-4"
"77","13","17","2-3-4"
"78","13","17","0-2-3-4"
"79","14","17","0-1-3-4"
"80","14","17","1-2-3-4"
"81","14","17","2-3-4"
"82","14","17","0-1-2-3-4"
"83","14","17","0-1-2-3-4"
"84","14","17","2-3-4"
"85","15","17","2-3-4"
"86","15","17","2-3-4"
"87","15","17","1-2-4"
"88","15","17","0-1-2-3-4"
"89","15","17","0-1-2-3-4"
"90","15","17","0-2-3-4"
"91","16","17","0-1-3-4"
"92","16","17","0-1-2-3-4"
"93","16","17","1-3-4"
"94","16","17","0-1-2-3-4"
"95","16","17","0-1-4"
