"Transport_line","Transport_Time"
"0-10","13"
"0-11","17"
"0-12","12"
"0-13","12"
"0-14","8"
"0-15","12"
"0-16","5"
"0-17","15"
"0-18","18"
"0-19","19"
"0-20","16"
"0-21","12"
"0-22","10"
"0-23","9"
"0-24","18"
"0-25","7"
"0-26","7"
"0-27","10"
"0-5","7"
"0-6","7"
"0-7","16"
"0-8","7"
"0-9","13"
"1-10","12"
"1-11","12"
"1-12","5"
"1-13","12"
"1-14","17"
"1-15","16"
"1-16","13"
"1-17","13"
"1-18","5"
"1-19","6"
"1-20","5"
"1-21","19"
"1-22","8"
"1-23","12"
"1-24","8"
"1-25","13"
"1-26","17"
"1-27","13"
"1-5","9"
"1-6","20"
"1-7","12"
"1-8","12"
"1-9","18"
"10-13","11"
"10-14","16"
"10-15","19"
"10-16","19"
"10-17","10"
"10-18","17"
"10-19","5"
"10-20","16"
"10-21","18"
"10-22","18"
"10-23","13"
"10-24","9"
"10-25","17"
"10-26","20"
"10-27","5"
"11-13","20"
"11-14","7"
"11-15","10"
"11-16","7"
"11-17","15"
"11-18","9"
"11-19","8"
"11-20","6"
"11-21","8"
"11-22","17"
"11-23","11"
"11-24","13"
"11-25","10"
"11-26","8"
"11-27","9"
"12-13","5"
"12-14","9"
"12-15","7"
"12-16","10"
"12-17","10"
"12-18","16"
"12-19","10"
"12-20","7"
"12-21","16"
"12-22","9"
"12-23","6"
"12-24","18"
"12-25","18"
"12-26","13"
"12-27","13"
"13-16","7"
"13-17","11"
"13-18","12"
"13-19","15"
"13-20","17"
"13-21","8"
"13-22","15"
"13-23","19"
"13-24","15"
"13-25","14"
"13-26","11"
"13-27","7"
"14-16","8"
"14-17","8"
"14-18","9"
"14-19","20"
"14-20","13"
"14-21","20"
"14-22","5"
"14-23","5"
"14-24","15"
"14-25","15"
"14-26","20"
"14-27","9"
"15-16","17"
"15-17","14"
"15-18","9"
"15-19","7"
"15-20","15"
"15-21","14"
"15-22","9"
"15-23","18"
"15-24","15"
"15-25","14"
"15-26","13"
"15-27","13"
"16-19","6"
"16-20","12"
"16-21","8"
"16-22","16"
"16-23","15"
"16-24","12"
"16-25","10"
"16-26","12"
"16-27","7"
"17-19","16"
"17-20","20"
"17-21","12"
"17-22","12"
"17-23","5"
"17-24","13"
"17-25","12"
"17-26","8"
"17-27","10"
"18-19","5"
"18-20","14"
"18-21","8"
"18-22","7"
"18-23","8"
"18-24","11"
"18-25","18"
"18-26","11"
"18-27","20"
"19-23","7"
"19-24","6"
"19-25","6"
"19-26","15"
"19-27","8"
"2-10","19"
"2-11","16"
"2-12","15"
"2-13","18"
"2-14","6"
"2-15","17"
"2-16","13"
"2-17","16"
"2-18","18"
"2-19","7"
"2-20","11"
"2-21","7"
"2-22","9"
"2-23","14"
"2-24","19"
"2-25","10"
"2-26","18"
"2-27","16"
"2-5","17"
"2-6","11"
"2-7","15"
"2-8","11"
"2-9","13"
"20-23","20"
"20-24","9"
"20-25","19"
"20-26","8"
"20-27","14"
"21-23","10"
"21-24","11"
"21-25","9"
"21-26","15"
"21-27","12"
"22-23","19"
"22-24","8"
"22-25","13"
"22-26","15"
"22-27","10"
"3-10","6"
"3-11","14"
"3-12","7"
"3-13","10"
"3-14","10"
"3-15","20"
"3-16","7"
"3-17","11"
"3-18","5"
"3-19","7"
"3-20","15"
"3-21","18"
"3-22","8"
"3-23","10"
"3-24","6"
"3-25","6"
"3-26","11"
"3-27","15"
"3-5","6"
"3-6","19"
"3-7","14"
"3-8","8"
"3-9","20"
"4-10","8"
"4-11","16"
"4-12","14"
"4-13","5"
"4-14","6"
"4-15","18"
"4-16","6"
"4-17","20"
"4-18","8"
"4-19","15"
"4-20","17"
"4-21","11"
"4-22","16"
"4-23","7"
"4-24","18"
"4-25","13"
"4-26","17"
"4-27","10"
"4-5","11"
"4-6","15"
"4-7","9"
"4-8","8"
"4-9","20"
"5-10","6"
"5-11","13"
"5-12","8"
"5-13","18"
"5-14","15"
"5-15","11"
"5-16","16"
"5-17","20"
"5-18","17"
"5-19","16"
"5-20","17"
"5-21","19"
"5-22","17"
"5-23","12"
"5-24","9"
"5-25","5"
"5-26","10"
"5-27","14"
"6-10","14"
"6-11","10"
"6-12","18"
"6-13","20"
"6-14","18"
"6-15","10"
"6-16","12"
"6-17","19"
"6-18","7"
"6-19","14"
"6-20","15"
"6-21","9"
"6-22","5"
"6-23","19"
"6-24","8"
"6-25","18"
"6-26","11"
"6-27","10"
"7-10","11"
"7-11","8"
"7-12","18"
"7-13","19"
"7-14","16"
"7-15","14"
"7-16","8"
"7-17","11"
"7-18","11"
"7-19","14"
"7-20","11"
"7-21","19"
"7-22","12"
"7-23","17"
"7-24","20"
"7-25","20"
"7-26","9"
"7-27","16"
"8-10","7"
"8-11","16"
"8-12","9"
"8-13","8"
"8-14","8"
"8-15","10"
"8-16","18"
"8-17","19"
"8-18","16"
"8-19","8"
"8-20","20"
"8-21","5"
"8-22","16"
"8-23","7"
"8-24","8"
"8-25","20"
"8-26","5"
"8-27","17"
"9-10","20"
"9-11","12"
"9-12","13"
"9-13","11"
"9-14","16"
"9-15","18"
"9-16","9"
"9-17","18"
"9-18","14"
"9-19","7"
"9-20","19"
"9-21","7"
"9-22","5"
"9-23","15"
"9-24","18"
"9-25","7"
"9-26","14"
"9-27","18"
