"ChargeID","CastID","CC","ChargeRoute"
"1","1","23","2-3-6"
"2","1","23","0-2-6"
"3","1","23","0-1-3-4-6"
"4","1","23","0-1-2-3-4-5-6"
"5","1","23","0-1-2-4-5-6"
"6","1","23","1-5-6"
"7","2","23","0-2-3-5-6"
"8","2","23","0-1-2-3-4-6"
"9","2","23","0-1-4-5-6"
"10","2","23","0-1-2-5-6"
"11","2","23","1-2-4-5-6"
"12","2","23","1-2-3-6"
"13","3","24","3-4-5-6"
"14","3","24","1-2-4-5-6"
"15","3","24","0-1-4-5-6"
"16","3","24","0-1-2-3-4-5-6"
"17","3","24","1-3-4-6"
"18","3","24","0-1-2-3-5-6"
"19","4","24","0-1-2-3-4-5-6"
"20","4","24","0-1-2-3-4-5-6"
"21","4","24","0-1-2-3-4-6"
"22","4","24","0-1-2-3-4-5-6"
"23","4","24","0-3-4-6"
"24","4","24","0-2-4-6"
"25","5","25","0-2-4-5-6"
"26","5","25","0-1-3-4-5-6"
"27","5","25","1-2-3-4-5-6"
"28","5","25","0-2-4-6"
"29","5","25","0-1-2-3-4-5-6"
"30","5","25","0-1-2-5-6"
"31","6","25","0-1-4-5-6"
"32","6","25","0-1-5-6"
"33","6","25","0-1-2-3-4-6"
"34","6","25","0-1-2-4-6"
"35","6","25","1-2-3-4-5-6"
"36","6","25","0-2-3-4-5-6"
"37","7","26","0-1-2-4-6"
"38","7","26","0-1-6"
"39","7","26","1-2-4-6"
"40","7","26","0-1-3-4-5-6"
"41","7","26","0-1-2-3-5-6"
"42","7","26","0-1-3-4-6"
"43","8","26","1-2-3-4-5-6"
"44","8","26","0-1-2-3-4-6"
"45","8","26","0-1-3-5-6"
"46","8","26","0-3-5-6"
"47","8","26","1-2-3-4-6"
"48","8","26","0-1-3-4-5-6"
"49","9","27","0-3-6"
"50","9","27","0-1-2-3-6"
"51","9","27","0-2-3-4-6"
"52","9","27","0-1-3-4-5-6"
"53","9","27","0-2-4-5-6"
"54","9","27","3-5-6"
"55","10","27","0-1-2-3-4-6"
"56","10","27","0-1-2-3-4-6"
"57","10","27","0-3-5-6"
"58","10","27","1-3-6"
"59","10","27","0-1-3-4-5-6"
