"StageID","ChargeID","MinTime","Standard_Time","MaxTime"
"0","10","41","44","54"
"0","15","17","27","33"
"0","16","31","34","39"
"0","18","36","46","51"
"0","19","18","25","26"
"0","2","36","42","48"
"0","20","47","50","59"
"0","21","12","20","29"
"0","22","17","22","27"
"0","23","13","22","24"
"0","24","32","37","46"
"0","25","34","41","47"
"0","26","45","48","56"
"0","28","16","26","36"
"0","29","33","41","44"
"0","3","28","38","43"
"0","30","37","40","41"
"0","31","37","44","52"
"0","32","35","43","50"
"0","33","36","39","41"
"0","34","21","24","25"
"0","36","22","28","32"
"0","37","22","31","37"
"0","38","17","25","33"
"0","4","26","31","32"
"0","40","14","24","29"
"0","41","39","46","51"
"0","42","43","50","56"
"0","44","22","32","40"
"0","45","23","26","30"
"0","46","39","49","50"
"0","48","44","45","54"
"0","49","24","27","28"
"0","5","22","32","36"
"0","50","43","49","53"
"0","51","17","25","28"
"0","52","32","40","47"
"0","53","40","48","51"
"0","55","46","48","50"
"0","56","25","34","39"
"0","57","22","24","30"
"0","59","31","34","35"
"0","60","29","30","33"
"0","7","25","29","37"
"0","8","18","22","25"
"0","9","20","25","27"
"1","10","31","40","47"
"1","11","27","33","34"
"1","12","34","37","42"
"1","14","26","36","43"
"1","15","19","27","32"
"1","16","27","30","37"
"1","17","19","28","38"
"1","18","30","36","44"
"1","19","16","21","27"
"1","20","32","42","49"
"1","21","32","35","41"
"1","22","39","44","53"
"1","26","39","47","48"
"1","27","41","44","47"
"1","29","18","24","33"
"1","3","36","43","50"
"1","30","38","47","55"
"1","31","39","44","49"
"1","32","33","38","46"
"1","33","25","30","32"
"1","34","14","22","26"
"1","35","41","48","58"
"1","37","10","20","28"
"1","38","20","25","31"
"1","39","40","41","44"
"1","4","19","24","29"
"1","40","23","29","38"
"1","41","21","22","24"
"1","42","26","28","35"
"1","43","24","25","30"
"1","44","42","43","52"
"1","45","26","32","34"
"1","47","15","20","21"
"1","48","22","24","32"
"1","5","30","31","38"
"1","50","30","31","37"
"1","52","29","31","32"
"1","55","40","48","50"
"1","56","19","23","31"
"1","58","28","36","40"
"1","59","38","48","54"
"1","6","29","39","45"
"1","60","24","27","37"
"1","8","18","22","28"
"1","9","37","38","40"
"2","1","23","26","33"
"2","10","23","25","35"
"2","11","33","36","38"
"2","12","41","42","51"
"2","14","15","22","23"
"2","16","25","27","29"
"2","18","30","38","43"
"2","19","43","46","49"
"2","2","29","34","40"
"2","20","39","43","53"
"2","21","42","49","57"
"2","22","39","43","46"
"2","24","29","35","40"
"2","25","35","36","41"
"2","27","16","26","33"
"2","28","27","36","43"
"2","29","35","42","48"
"2","30","10","20","28"
"2","33","27","35","37"
"2","34","20","28","35"
"2","35","42","43","45"
"2","36","28","29","32"
"2","37","13","22","26"
"2","39","26","35","37"
"2","4","14","24","27"
"2","41","27","36","40"
"2","43","23","26","35"
"2","44","20","27","37"
"2","47","26","31","38"
"2","5","47","48","53"
"2","50","23","25","35"
"2","51","20","26","33"
"2","53","27","30","34"
"2","55","31","32","34"
"2","56","25","29","34"
"2","60","17","23","31"
"2","7","35","43","53"
"2","8","36","46","50"
"3","1","31","36","37"
"3","12","26","31","41"
"3","13","26","35","43"
"3","16","18","28","35"
"3","17","23","33","36"
"3","18","42","45","51"
"3","19","30","31","39"
"3","20","34","44","54"
"3","21","42","43","52"
"3","22","42","49","50"
"3","23","22","24","33"
"3","26","38","40","43"
"3","27","42","45","46"
"3","29","32","35","44"
"3","3","33","40","44"
"3","33","18","28","34"
"3","35","40","43","46"
"3","36","25","26","33"
"3","4","40","45","46"
"3","40","32","35","38"
"3","41","42","43","44"
