"Transport_line","Transport_Time"
"0-10","20"
"0-11","13"
"0-12","5"
"0-13","17"
"0-14","14"
"0-15","5"
"0-16","5"
"0-17","10"
"0-18","17"
"0-19","6"
"0-20","10"
"0-21","11"
"0-22","17"
"0-23","16"
"0-24","13"
"0-5","10"
"0-6","8"
"0-7","11"
"0-8","15"
"0-9","7"
"1-10","5"
"1-11","10"
"1-12","11"
"1-13","9"
"1-14","10"
"1-15","8"
"1-16","9"
"1-17","18"
"1-18","5"
"1-19","7"
"1-20","6"
"1-21","10"
"1-22","9"
"1-23","9"
"1-24","19"
"1-5","8"
"1-6","17"
"1-7","12"
"1-8","9"
"1-9","5"
"10-12","8"
"10-13","7"
"10-14","19"
"10-15","8"
"10-16","14"
"10-17","10"
"10-18","17"
"10-19","6"
"10-20","8"
"10-21","15"
"10-22","7"
"10-23","8"
"10-24","12"
"11-12","6"
"11-13","19"
"11-14","13"
"11-15","11"
"11-16","16"
"11-17","19"
"11-18","17"
"11-19","17"
"11-20","20"
"11-21","19"
"11-22","15"
"11-23","15"
"11-24","18"
"12-15","19"
"12-16","5"
"12-17","12"
"12-18","6"
"12-19","13"
"12-20","7"
"12-21","7"
"12-22","14"
"12-23","5"
"12-24","7"
"13-15","15"
"13-16","15"
"13-17","18"
"13-18","19"
"13-19","6"
"13-20","6"
"13-21","12"
"13-22","15"
"13-23","20"
"13-24","11"
"14-15","6"
"14-16","5"
"14-17","8"
"14-18","10"
"14-19","13"
"14-20","10"
"14-21","5"
"14-22","5"
"14-23","18"
"14-24","19"
"15-18","10"
"15-19","20"
"15-20","5"
"15-21","7"
"15-22","17"
"15-23","15"
"15-24","18"
"16-18","7"
"16-19","13"
"16-20","13"
"16-21","17"
"16-22","11"
"16-23","14"
"16-24","13"
"17-18","8"
"17-19","15"
"17-20","7"
"17-21","6"
"17-22","19"
"17-23","14"
"17-24","18"
"18-22","10"
"18-23","7"
"18-24","14"
"19-22","18"
"19-23","16"
"19-24","20"
"2-10","13"
"2-11","14"
"2-12","17"
"2-13","18"
"2-14","15"
"2-15","8"
"2-16","13"
"2-17","15"
"2-18","9"
"2-19","13"
"2-20","6"
"2-21","13"
"2-22","18"
"2-23","7"
"2-24","12"
"2-5","9"
"2-6","13"
"2-7","13"
"2-8","7"
"2-9","10"
"20-22","12"
"20-23","9"
"20-24","18"
"21-22","10"
"21-23","9"
"21-24","11"
"3-10","14"
"3-11","14"
"3-12","9"
"3-13","7"
"3-14","15"
"3-15","17"
"3-16","9"
"3-17","19"
"3-18","17"
"3-19","18"
"3-20","15"
"3-21","7"
"3-22","19"
"3-23","5"
"3-24","12"
"3-5","15"
"3-6","6"
"3-7","15"
"3-8","6"
"3-9","11"
"4-10","7"
"4-11","15"
"4-12","17"
"4-13","12"
"4-14","8"
"4-15","7"
"4-16","7"
"4-17","20"
"4-18","17"
"4-19","9"
"4-20","10"
"4-21","14"
"4-22","11"
"4-23","9"
"4-24","17"
"4-5","15"
"4-6","13"
"4-7","16"
"4-8","14"
"4-9","20"
"5-10","15"
"5-11","17"
"5-12","9"
"5-13","20"
"5-14","13"
"5-15","6"
"5-16","8"
"5-17","13"
"5-18","19"
"5-19","19"
"5-20","9"
"5-21","20"
"5-22","16"
"5-23","7"
"5-24","15"
"5-8","6"
"5-9","14"
"6-10","16"
"6-11","11"
"6-12","17"
"6-13","16"
"6-14","20"
"6-15","19"
"6-16","19"
"6-17","13"
"6-18","13"
"6-19","18"
"6-20","20"
"6-21","15"
"6-22","5"
"6-23","15"
"6-24","14"
"6-8","17"
"6-9","10"
"7-10","19"
"7-11","12"
"7-12","6"
"7-13","20"
"7-14","5"
"7-15","17"
"7-16","16"
"7-17","14"
"7-18","8"
"7-19","10"
"7-20","16"
"7-21","16"
"7-22","9"
"7-23","17"
"7-24","6"
"7-8","9"
"7-9","19"
"8-12","14"
"8-13","17"
"8-14","19"
"8-15","10"
"8-16","12"
"8-17","17"
"8-18","20"
"8-19","20"
"8-20","9"
"8-21","15"
"8-22","18"
"8-23","10"
"8-24","14"
"9-12","11"
"9-13","7"
"9-14","8"
"9-15","6"
"9-16","7"
"9-17","19"
"9-18","5"
"9-19","17"
"9-20","7"
"9-21","9"
"9-22","19"
"9-23","20"
"9-24","5"
