"ChargeID","CastID","CC","ChargeRoute"
"1","1","22","0-1-2-3-4-5-6"
"2","1","22","4-5-6"
"3","1","22","0-3-5-6"
"4","1","22","0-2-3-4-6"
"5","1","22","0-1-2-3-5-6"
"6","1","22","0-1-4-5-6"
"7","2","22","0-4-5-6"
"8","2","22","0-1-2-3-4-5-6"
"9","2","22","0-1-3-6"
"10","2","22","0-1-2-4-5-6"
"11","2","22","0-2-3-4-5-6"
"12","2","22","1-3-4-5-6"
"13","3","22","0-1-2-3-4-5-6"
"14","3","22","0-1-2-3-4-5-6"
"15","3","22","1-2-4-5-6"
"16","3","22","0-1-2-4-5-6"
"17","3","22","4-5-6"
"18","3","22","1-2-3-4-6"
"19","4","23","1-3-4-5-6"
"20","4","23","0-1-4-5-6"
"21","4","23","3-4-5-6"
"22","4","23","0-1-2-3-4-5-6"
"23","4","23","0-1-2-3-4-5-6"
"24","4","23","4-5-6"
"25","5","23","0-2-3-5-6"
"26","5","23","0-1-3-5-6"
"27","5","23","0-2-4-5-6"
"28","5","23","0-1-2-3-5-6"
"29","5","23","0-1-2-3-5-6"
"30","5","23","0-1-2-3-6"
"31","6","23","0-2-6"
"32","6","23","0-3-6"
"33","6","23","2-3-4-5-6"
"34","6","23","1-2-3-5-6"
"35","6","23","0-1-2-6"
"36","6","23","0-1-3-4-5-6"
"37","7","24","0-1-4-5-6"
"38","7","24","2-3-5-6"
"39","7","24","1-2-3-4-6"
"40","7","24","4-5-6"
"41","7","24","0-1-2-3-5-6"
"42","7","24","0-1-4-5-6"
"43","8","24","0-1-5-6"
"44","8","24","0-1-2-3-4-5-6"
"45","8","24","1-2-3-4-5-6"
"46","8","24","0-1-2-3-4-5-6"
"47","8","24","1-2-4-5-6"
"48","8","24","1-2-5-6"
"49","9","24","0-2-3-4-5-6"
"50","9","24","1-4-5-6"
"51","9","24","0-1-2-3-4-5-6"
"52","9","24","0-4-6"
"53","9","24","1-3-4-5-6"
