"StageID","ChargeID","MinTime","Standard_Time","MaxTime"
"0","1","45","49","54"
"0","10","32","38","44"
"0","11","23","24","27"
"0","13","28","31","38"
"0","14","25","33","43"
"0","16","28","38","45"
"0","20","18","25","27"
"0","22","21","22","32"
"0","23","27","37","44"
"0","25","40","45","54"
"0","26","37","47","51"
"0","27","45","46","47"
"0","28","40","45","48"
"0","29","21","28","33"
"0","3","31","39","42"
"0","30","32","42","44"
"0","31","35","39","41"
"0","32","11","21","28"
"0","35","25","30","33"
"0","36","17","24","31"
"0","37","26","36","38"
"0","4","38","41","46"
"0","41","25","31","37"
"0","42","41","45","51"
"0","43","12","22","27"
"0","44","39","47","54"
"0","46","21","28","32"
"0","49","36","38","41"
"0","5","16","22","25"
"0","51","17","21","27"
"0","52","28","34","41"
"0","6","28","29","33"
"0","7","22","31","33"
"0","8","43","50","57"
"0","9","17","25","30"
"1","1","25","28","35"
"1","10","35","45","52"
"1","12","21","25","26"
"1","13","26","30","32"
"1","14","20","22","32"
"1","15","46","48","55"
"1","16","42","48","53"
"1","18","13","23","33"
"1","19","15","24","34"
"1","20","11","21","25"
"1","22","26","27","35"
"1","23","21","22","24"
"1","26","24","25","26"
"1","28","31","36","40"
"1","29","34","42","50"
"1","30","43","44","49"
"1","34","14","22","27"
"1","35","25","26","33"
"1","36","46","47","57"
"1","37","25","35","36"
"1","39","26","29","32"
"1","41","34","43","47"
"1","42","14","24","27"
"1","43","22","32","33"
"1","44","39","47","52"
"1","45","36","39","44"
"1","46","29","34","38"
"1","47","32","37","45"
"1","48","28","33","39"
"1","5","24","28","29"
"1","50","17","24","33"
"1","51","32","41","50"
"1","53","23","32","40"
"1","54","26","29","33"
"1","6","30","39","40"
"1","8","11","20","21"
"1","9","20","27","35"
"2","1","23","28","30"
"2","10","14","20","27"
"2","11","37","47","49"
"2","13","27","33","34"
"2","14","37","47","53"
"2","15","23","33","36"
"2","16","38","46","47"
"2","18","41","48","56"
"2","22","23","30","36"
"2","23","39","47","54"
"2","25","32","33","43"
"2","27","39","41","45"
"2","28","31","32","38"
"2","29","22","29","35"
"2","30","33","39","43"
"2","31","28","34","44"
"2","33","23","29","35"
"2","34","25","27","33"
"2","35","20","25","35"
"2","38","12","22","31"
"2","39","26","31","32"
"2","4","30","31","32"
"2","41","45","47","52"
"2","44","18","22","23"
"2","45","13","20","26"
"2","46","46","48","56"
"2","47","22","29","37"
"2","48","28","35","39"
"2","49","17","21","24"
"2","5","24","28","38"
"2","51","20","23","29"
"2","54","41","48","51"
"2","8","24","26","31"
"3","1","42","49","55"
"3","11","41","48","49"
"3","12","43","44","54"
"3","13","39","44","49"
"3","14","35","39","46"
"3","18","27","34","43"
"3","19","22","31","32"
"3","21","32","34","38"
"3","22","23","25","35"
"3","23","28","34","35"
"3","25","49","50","54"
"3","26","21","23","24"
"3","28","23","32","35"
"3","29","12","21","26"
"3","3","25","30","35"
"3","30","37","44","54"
"3","32","38","43","52"
"3","33","30","36","39"
"3","34","43","47","57"
"3","36","11","21","25"
"3","38","43","49","53"
"3","39","24","29","32"
"3","4","27","28","31"
"3","41","34","44","53"
"3","44","27","35","42"
"3","45","24","29","34"
"3","46","42","48","50"
"3","49","37","38","48"
"3","5","21","29","39"
"3","51","24","32","42"
"3","53","13","21","28"
"3","54","25","29","36"
"3","8","25","33","39"
"3","9","48","50","51"
"4","1","28","30","35"
"4","10","19","23","28"
"4","11","16","20","25"
"4","12","25","35","43"
"4","13","24","30","39"
"4","14","38","42","46"
"4","15","23","24","32"
"4","16","43","44","48"
"4","17","20","27","28"
"4","18","48","50","60"
"4","19","36","44","45"
"4","2","23","33","40"
"4","20","40","49","50"
"4","21","20","28","34"
"4","22","35","45","49"
"4","23","25","28","37"
"4","24","42","50","60"
"4","27","26","34","35"
"4","33","45","50","59"
"4","36","29","31","40"
"4","37","34","40","45"
"4","39","37","42","50"
"4","4","25","29","34"
"4","40","38","42","50"
"4","42","36","45","54"
"4","44","38","47","52"
"4","45","18","28","34"
"4","46","34","44","45"
"4","47","24","34","42"
"4","49","22","23","28"
"4","50","23","30","35"
"4","51","36","42","44"
"4","52","41","48","53"
"4","53","34","37","40"
"4","6","34","44","46"
"4","7","37","39","48"
"4","8","31","40","50"
"5","1","19","27","35"
"5","10","42","50","54"
"5","11","11","20","27"
"5","12","35","40","44"
"5","13","40","42","48"
"5","14","11","21","31"
"5","15","37","42","44"
"5","16","36","42","51"
"5","17","37","47","51"
"5","19","25","26","28"
"5","2","40","41","45"
"5","20","28","32","34"
"5","21","18","24","27"
"5","22","38","47","57"
"5","23","45","47","56"
"5","24","15","25","32"
"5","25","44","49","56"
"5","26","37","44","52"
"5","27","19","28","33"
"5","28","38","43","45"
"5","29","14","24","25"
"5","3","27","29","39"
"5","33","34","38","48"
"5","34","44","50","58"
"5","36","20","27","29"
"5","37","16","25","32"
"5","38","26","35","36"
"5","40","24","31","37"
"5","41","42","44","51"
"5","42","28","32","41"
"5","43","25","30","32"
"5","44","38","45","46"
"5","45","25","35","37"
"5","46","16","22","24"
"5","47","23","32","42"
"5","48","47","48","57"
"5","49","18","20","24"
"5","5","39","47","57"
"5","50","36","41","46"
"5","51","39","42","46"
"5","53","42","50","56"
"5","54","31","34","39"
"5","6","25","32","42"
"5","7","39","41","47"
"5","8","35","37","41"
