"Transport_line","Transport_Time"
"0-10","15"
"0-11","5"
"0-12","15"
"0-13","15"
"0-14","20"
"0-15","5"
"0-3","20"
"0-4","12"
"0-5","8"
"0-6","13"
"0-7","6"
"0-8","14"
"0-9","10"
"1-10","12"
"1-11","14"
"1-12","18"
"1-13","11"
"1-14","5"
"1-15","20"
"1-3","16"
"1-4","6"
"1-5","17"
"1-6","8"
"1-7","15"
"1-8","19"
"1-9","11"
"10-12","18"
"10-13","13"
"10-14","5"
"10-15","16"
"11-12","12"
"11-13","18"
"11-14","15"
"11-15","16"
"2-10","10"
"2-11","9"
"2-12","10"
"2-13","14"
"2-14","11"
"2-15","20"
"2-3","13"
"2-4","20"
"2-5","13"
"2-6","19"
"2-7","15"
"2-8","20"
"2-9","9"
"3-10","9"
"3-11","8"
"3-12","9"
"3-13","9"
"3-14","14"
"3-15","19"
"3-7","7"
"3-8","20"
"3-9","15"
"4-10","15"
"4-11","13"
"4-12","18"
"4-13","11"
"4-14","9"
"4-15","17"
"4-7","9"
"4-8","9"
"4-9","18"
"5-10","11"
"5-11","15"
"5-12","13"
"5-13","17"
"5-14","8"
"5-15","9"
"5-7","13"
"5-8","13"
"5-9","20"
"6-10","15"
"6-11","13"
"6-12","6"
"6-13","15"
"6-14","11"
"6-15","17"
"6-7","7"
"6-8","16"
"6-9","9"
"7-12","15"
"7-13","18"
"7-14","18"
"7-15","5"
"8-12","5"
"8-13","8"
"8-14","7"
"8-15","17"
"9-12","17"
"9-13","20"
"9-14","15"
"9-15","5"
