"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"27","1","40","41","42"
"27","10","42","52","60"
"27","11","40","48","58"
"27","12","52","58","63"
"27","13","40","44","46"
"27","14","38","41","42"
"27","15","48","58","59"
"27","16","42","52","60"
"27","17","41","49","51"
"27","18","36","41","48"
"27","19","56","57","66"
"27","2","41","43","46"
"27","20","36","41","47"
"27","21","49","53","61"
"27","3","31","41","48"
"27","4","46","53","62"
"27","5","53","55","64"
"27","6","43","49","51"
"27","7","44","52","61"
"27","8","45","48","54"
"27","9","39","43","52"
"28","22","45","54","62"
"28","23","43","46","52"
"28","24","48","49","57"
"28","25","50","58","65"
"28","26","57","60","69"
"28","27","50","58","63"
"28","28","40","47","57"
"28","29","49","58","63"
"28","30","45","48","51"
"28","31","47","49","51"
"28","32","43","50","53"
"28","33","41","48","52"
"28","34","55","58","66"
"28","35","46","50","53"
"28","36","33","43","46"
"28","37","39","46","53"
"28","38","34","44","46"
"28","39","56","58","59"
"28","40","42","50","53"
"28","41","56","59","68"
"28","42","49","54","55"
"29","43","43","49","50"
"29","44","46","47","56"
"29","45","48","57","61"
"29","46","41","50","58"
"29","47","46","55","56"
"29","48","46","49","56"
"29","49","37","44","45"
"29","50","36","45","49"
"29","51","54","56","63"
"29","52","39","40","48"
"29","53","37","43","52"
"29","54","32","40","47"
"29","55","37","42","47"
"29","56","50","54","59"
"29","57","53","56","59"
"29","58","49","58","63"
"29","59","48","52","53"
"29","60","41","42","46"
"29","61","42","43","48"
"29","62","55","60","69"
"29","63","38","44","45"
"30","64","50","55","61"
"30","65","41","51","57"
"30","66","44","46","47"
"30","67","53","60","70"
"30","68","44","48","57"
"30","69","38","43","51"
"30","70","39","44","53"
"30","71","42","51","53"
"30","72","49","52","61"
"30","73","41","47","53"
"30","74","48","58","64"
"30","75","43","52","60"
"30","76","51","55","60"
"30","77","53","56","64"
"30","78","42","49","53"
"30","79","48","51","56"
"30","80","40","44","52"
"30","81","52","56","62"
"30","82","39","41","44"
"30","83","35","43","52"
"30","84","46","55","64"
