"Transport_line","Transport_Time"
"0-10","8"
"0-11","11"
"0-12","12"
"0-13","13"
"0-14","16"
"0-15","19"
"0-16","20"
"0-17","19"
"0-18","20"
"0-19","8"
"0-20","18"
"0-21","14"
"0-22","10"
"0-23","6"
"0-24","18"
"0-25","15"
"0-26","8"
"0-27","15"
"0-28","15"
"0-29","17"
"0-30","5"
"0-5","15"
"0-6","16"
"0-7","5"
"0-8","11"
"0-9","10"
"1-10","7"
"1-11","8"
"1-12","9"
"1-13","12"
"1-14","14"
"1-15","7"
"1-16","14"
"1-17","20"
"1-18","18"
"1-19","8"
"1-20","20"
"1-21","9"
"1-22","13"
"1-23","15"
"1-24","10"
"1-25","15"
"1-26","14"
"1-27","11"
"1-28","9"
"1-29","14"
"1-30","19"
"1-5","14"
"1-6","9"
"1-7","7"
"1-8","13"
"1-9","9"
"10-13","10"
"10-14","14"
"10-15","10"
"10-16","17"
"10-17","12"
"10-18","7"
"10-19","15"
"10-20","10"
"10-21","18"
"10-22","14"
"10-23","17"
"10-24","15"
"10-25","5"
"10-26","6"
"10-27","5"
"10-28","14"
"10-29","19"
"10-30","6"
"11-13","7"
"11-14","7"
"11-15","18"
"11-16","12"
"11-17","11"
"11-18","8"
"11-19","20"
"11-20","18"
"11-21","6"
"11-22","7"
"11-23","12"
"11-24","15"
"11-25","13"
"11-26","16"
"11-27","17"
"11-28","17"
"11-29","13"
"11-30","16"
"12-13","16"
"12-14","9"
"12-15","14"
"12-16","17"
"12-17","6"
"12-18","8"
"12-19","18"
"12-20","6"
"12-21","14"
"12-22","9"
"12-23","18"
"12-24","10"
"12-25","8"
"12-26","14"
"12-27","11"
"12-28","20"
"12-29","11"
"12-30","16"
"13-17","20"
"13-18","14"
"13-19","12"
"13-20","17"
"13-21","20"
"13-22","6"
"13-23","15"
"13-24","20"
"13-25","18"
"13-26","20"
"13-27","14"
"13-28","16"
"13-29","12"
"13-30","13"
"14-17","8"
"14-18","17"
"14-19","12"
"14-20","8"
"14-21","11"
"14-22","15"
"14-23","8"
"14-24","15"
"14-25","5"
"14-26","19"
"14-27","9"
"14-28","8"
"14-29","7"
"14-30","7"
"15-17","15"
"15-18","20"
"15-19","12"
"15-20","13"
"15-21","18"
"15-22","7"
"15-23","8"
"15-24","19"
"15-25","11"
"15-26","10"
"15-27","20"
"15-28","5"
"15-29","5"
"15-30","14"
"16-17","9"
"16-18","19"
"16-19","14"
"16-20","18"
"16-21","11"
"16-22","5"
"16-23","19"
"16-24","6"
"16-25","9"
"16-26","13"
"16-27","11"
"16-28","16"
"16-29","17"
"16-30","12"
"17-22","18"
"17-23","15"
"17-24","9"
"17-25","7"
"17-26","9"
"17-27","15"
"17-28","12"
"17-29","11"
"17-30","12"
"18-22","13"
"18-23","17"
"18-24","15"
"18-25","20"
"18-26","11"
"18-27","18"
"18-28","9"
"18-29","14"
"18-30","5"
"19-22","12"
"19-23","19"
"19-24","12"
"19-25","5"
"19-26","18"
"19-27","15"
"19-28","10"
"19-29","20"
"19-30","7"
"2-10","11"
"2-11","13"
"2-12","20"
"2-13","13"
"2-14","8"
"2-15","19"
"2-16","11"
"2-17","10"
"2-18","6"
"2-19","7"
"2-20","6"
"2-21","6"
"2-22","13"
"2-23","17"
"2-24","11"
"2-25","14"
"2-26","7"
"2-27","20"
"2-28","20"
"2-29","16"
"2-30","20"
"2-5","20"
"2-6","6"
"2-7","17"
"2-8","10"
"2-9","17"
"20-22","9"
"20-23","19"
"20-24","18"
"20-25","12"
"20-26","12"
"20-27","5"
"20-28","9"
"20-29","6"
"20-30","8"
"21-22","19"
"21-23","13"
"21-24","19"
"21-25","19"
"21-26","10"
"21-27","6"
"21-28","15"
"21-29","13"
"21-30","6"
"22-27","16"
"22-28","18"
"22-29","8"
"22-30","5"
"23-27","18"
"23-28","12"
"23-29","7"
"23-30","12"
"24-27","15"
"24-28","20"
"24-29","6"
"24-30","9"
"25-27","10"
"25-28","14"
"25-29","11"
"25-30","8"
"26-27","13"
"26-28","11"
