"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"10","1","47","53","58"
"10","10","40","41","44"
"10","11","52","55","60"
"10","12","52","60","70"
"10","2","51","55","62"
"10","3","41","47","52"
"10","4","34","44","53"
"10","5","31","40","50"
"10","6","41","42","47"
"10","7","54","59","64"
"10","8","38","42","47"
"10","9","49","53","61"
"11","13","47","51","61"
"11","14","39","48","55"
"11","15","51","55","56"
"11","16","46","55","59"
"11","17","36","42","50"
"11","18","51","52","61"
"11","19","44","52","53"
"11","20","45","51","55"
"11","21","50","59","65"
"11","22","47","54","60"
"11","23","41","50","58"
"11","24","55","58","62"
"12","25","45","53","54"
"12","26","56","60","70"
"12","27","53","55","64"
"12","28","41","43","50"
"12","29","43","47","53"
"12","30","35","44","49"
"12","31","43","46","54"
"12","32","36","45","52"
"12","33","44","47","54"
"12","34","57","58","64"
"12","35","44","53","56"
"12","36","41","44","47"
