"ChargeID","CastID","CC","ChargeRoute"
"1","1","10","0-1-2"
"2","1","10","0-1-2"
"3","1","10","0-1-2"
"4","1","10","0-1-2"
"5","1","10","0-1-2"
"6","1","10","0-1-2"
"7","2","10","0-1-2"
"8","2","10","0-1-2"
"9","2","10","0-1-2"
"10","2","10","0-1-2"
"11","2","10","0-1-2"
"12","2","10","0-1-2"
"13","3","11","0-1-2"
"14","3","11","0-1-2"
"15","3","11","0-1-2"
"16","3","11","0-1-2"
"17","3","11","0-1-2"
"18","3","11","0-1-2"
"19","4","11","0-1-2"
"20","4","11","0-1-2"
"21","4","11","0-1-2"
"22","4","11","0-1-2"
"23","4","11","0-1-2"
"24","4","11","0-1-2"
"25","5","12","0-1-2"
"26","5","12","0-1-2"
"27","5","12","0-1-2"
"28","5","12","0-1-2"
"29","5","12","0-1-2"
"30","5","12","0-1-2"
"31","6","12","0-1-2"
"32","6","12","0-1-2"
"33","6","12","0-1-2"
"34","6","12","0-1-2"
"35","6","12","0-1-2"
