"Transport_line","Transport_Time"
"0-10","16"
"0-11","17"
"0-12","20"
"0-13","7"
"0-14","8"
"0-15","20"
"0-16","19"
"0-17","16"
"0-18","12"
"0-19","10"
"0-20","11"
"0-21","10"
"0-22","8"
"0-23","13"
"0-24","13"
"0-25","5"
"0-26","8"
"0-27","11"
"0-28","16"
"0-29","8"
"0-5","14"
"0-6","18"
"0-7","20"
"0-8","20"
"0-9","13"
"1-10","12"
"1-11","5"
"1-12","8"
"1-13","9"
"1-14","10"
"1-15","11"
"1-16","10"
"1-17","8"
"1-18","13"
"1-19","18"
"1-20","5"
"1-21","5"
"1-22","9"
"1-23","14"
"1-24","16"
"1-25","13"
"1-26","14"
"1-27","18"
"1-28","13"
"1-29","20"
"1-5","10"
"1-6","6"
"1-7","11"
"1-8","16"
"1-9","20"
"10-13","5"
"10-14","16"
"10-15","7"
"10-16","8"
"10-17","6"
"10-18","13"
"10-19","18"
"10-20","10"
"10-21","15"
"10-22","9"
"10-23","15"
"10-24","15"
"10-25","5"
"10-26","14"
"10-27","16"
"10-28","7"
"10-29","13"
"11-13","7"
"11-14","9"
"11-15","18"
"11-16","7"
"11-17","13"
"11-18","11"
"11-19","18"
"11-20","8"
"11-21","18"
"11-22","16"
"11-23","20"
"11-24","13"
"11-25","18"
"11-26","6"
"11-27","17"
"11-28","13"
"11-29","6"
"12-13","16"
"12-14","15"
"12-15","14"
"12-16","11"
"12-17","9"
"12-18","13"
"12-19","10"
"12-20","19"
"12-21","10"
"12-22","15"
"12-23","19"
"12-24","11"
"12-25","13"
"12-26","7"
"12-27","5"
"12-28","12"
"12-29","19"
"13-18","5"
"13-19","11"
"13-20","5"
"13-21","20"
"13-22","16"
"13-23","5"
"13-24","9"
"13-25","5"
"13-26","5"
"13-27","8"
"13-28","5"
"13-29","15"
"14-18","16"
"14-19","6"
"14-20","6"
"14-21","13"
"14-22","9"
"14-23","16"
"14-24","8"
"14-25","5"
"14-26","16"
"14-27","10"
"14-28","17"
"14-29","11"
"15-18","11"
"15-19","14"
"15-20","15"
"15-21","19"
"15-22","15"
"15-23","19"
"15-24","15"
"15-25","6"
"15-26","14"
"15-27","14"
"15-28","16"
"15-29","6"
"16-18","17"
"16-19","10"
"16-20","7"
"16-21","5"
"16-22","6"
"16-23","20"
"16-24","5"
"16-25","19"
"16-26","11"
"16-27","10"
"16-28","6"
"16-29","7"
"17-18","12"
"17-19","6"
"17-20","11"
"17-21","16"
"17-22","8"
"17-23","6"
"17-24","10"
"17-25","12"
"17-26","11"
"17-27","14"
"17-28","19"
"17-29","8"
"18-22","8"
"18-23","15"
"18-24","7"
"18-25","9"
"18-26","5"
"18-27","9"
"18-28","5"
"18-29","11"
"19-22","12"
"19-23","15"
"19-24","5"
"19-25","8"
"19-26","14"
"19-27","10"
"19-28","8"
"19-29","11"
"2-10","20"
"2-11","20"
"2-12","12"
"2-13","12"
"2-14","20"
"2-15","20"
"2-16","6"
"2-17","11"
"2-18","11"
"2-19","15"
"2-20","10"
"2-21","18"
"2-22","14"
"2-23","16"
"2-24","19"
"2-25","15"
"2-26","14"
"2-27","9"
"2-28","15"
"2-29","10"
"2-5","7"
"2-6","9"
"2-7","18"
"2-8","17"
"2-9","5"
"20-22","11"
"20-23","17"
"20-24","15"
"20-25","5"
"20-26","16"
"20-27","7"
"20-28","11"
"20-29","16"
"21-22","16"
"21-23","6"
"21-24","5"
"21-25","19"
"21-26","6"
"21-27","11"
"21-28","16"
"21-29","5"
"22-26","9"
"22-27","17"
"22-28","12"
"22-29","5"
"23-26","17"
"23-27","19"
"23-28","11"
"23-29","9"
"24-26","10"
"24-27","12"
"24-28","9"
"24-29","5"
"25-26","6"
"25-27","17"
"25-28","8"
"25-29","15"
"3-10","18"
"3-11","14"
"3-12","7"
"3-13","5"
"3-14","12"
"3-15","17"
"3-16","9"
"3-17","10"
"3-18","11"
"3-19","15"
"3-20","16"
"3-21","17"
"3-22","16"
"3-23","17"
"3-24","14"
"3-25","5"
"3-26","11"
"3-27","14"
"3-28","19"
"3-29","7"
"3-5","8"
"3-6","19"
"3-7","18"
"3-8","18"
"3-9","9"
"4-10","13"
"4-11","13"
"4-12","8"
"4-13","17"
"4-14","5"
"4-15","14"
"4-16","7"
"4-17","14"
"4-18","14"
"4-19","19"
"4-20","11"
"4-21","11"
"4-22","16"
"4-23","15"
"4-24","10"
"4-25","20"
"4-26","10"
"4-27","12"
"4-28","8"
"4-29","11"
"4-5","8"
"4-6","10"
"4-7","15"
"4-8","16"
"4-9","12"
"5-10","10"
"5-11","19"
"5-12","13"
"5-13","20"
"5-14","12"
"5-15","10"
"5-16","20"
"5-17","6"
"5-18","16"
"5-19","6"
"5-20","7"
"5-21","11"
"5-22","8"
"5-23","19"
"5-24","13"
"5-25","10"
"5-26","6"
"5-27","12"
"5-28","12"
"5-29","20"
"5-8","14"
"5-9","13"
"6-10","7"
"6-11","16"
"6-12","11"
"6-13","7"
"6-14","5"
"6-15","7"
"6-16","18"
"6-17","14"
"6-18","20"
"6-19","16"
"6-20","19"
"6-21","15"
"6-22","13"
"6-23","15"
"6-24","5"
"6-25","13"
"6-26","10"
"6-27","10"
"6-28","5"
"6-29","14"
"6-8","17"
"6-9","9"
"7-10","14"
"7-11","17"
"7-12","19"
"7-13","14"
"7-14","12"
"7-15","18"
"7-16","17"
"7-17","19"
"7-18","17"
"7-19","11"
"7-20","13"
"7-21","18"
"7-22","7"
"7-23","14"
"7-24","8"
"7-25","9"
"7-26","6"
"7-27","17"
"7-28","11"
"7-29","16"
"7-8","5"
"7-9","13"
"8-13","8"
"8-14","8"
"8-15","8"
"8-16","11"
"8-17","12"
"8-18","9"
"8-19","18"
"8-20","20"
"8-21","9"
"8-22","12"
"8-23","16"
"8-24","9"
"8-25","19"
"8-26","18"
"8-27","13"
"8-28","18"
"8-29","18"
"9-13","8"
"9-14","20"
"9-15","6"
"9-16","17"
"9-17","12"
"9-18","10"
"9-19","14"
"9-20","20"
"9-21","15"
"9-22","12"
"9-23","10"
"9-24","14"
"9-25","11"
"9-26","11"
"9-27","19"
"9-28","17"
"9-29","6"
