"MachineID","EAT"
"0","2016-02-16 08:09:00"
"1","2016-02-16 08:09:00"
"2","2016-02-16 08:16:00"
"3","2016-02-16 08:18:00"
"4","2016-02-16 08:06:00"
"5","2016-02-16 08:09:00"
"6","2016-02-16 08:17:00"
"7","2016-02-16 08:11:00"
"8","2016-02-16 08:03:00"
"9","2016-02-16 08:18:00"
"10","2016-02-16 08:19:00"
"11","2016-02-16 08:11:00"
"12","2016-02-16 08:02:00"
"13","2016-02-16 08:03:00"
"14","2016-02-16 08:07:00"
"15","2016-02-16 08:03:00"
"16","2016-02-16 08:12:00"
"17","2016-02-16 08:12:00"
"18","2016-02-16 08:11:00"
"19","2016-02-16 08:06:00"
"20","2016-02-16 08:03:00"
"21","2016-02-16 08:09:00"
"22","2016-02-16 08:12:00"
"23","2016-02-16 08:03:00"
"24","2016-02-16 08:04:00"
"25","2016-02-16 08:04:00"
"26","2016-02-16 08:20:00"
"27","2016-02-16 08:18:00"
"28","2016-02-16 08:09:00"
"29","2016-02-16 08:14:00"
