"Transport_line","Transport_Time"
"0-10","9"
"0-11","19"
"0-12","14"
"0-13","5"
"0-14","11"
"0-15","8"
"0-16","5"
"0-17","17"
"0-18","11"
"0-19","18"
"0-20","10"
"0-21","9"
"0-22","8"
"0-23","20"
"0-5","16"
"0-6","6"
"0-7","5"
"0-8","17"
"0-9","7"
"1-10","19"
"1-11","7"
"1-12","18"
"1-13","17"
"1-14","18"
"1-15","16"
"1-16","18"
"1-17","6"
"1-18","16"
"1-19","18"
"1-20","14"
"1-21","7"
"1-22","18"
"1-23","12"
"1-5","19"
"1-6","14"
"1-7","5"
"1-8","11"
"1-9","10"
"10-15","20"
"10-16","17"
"10-17","15"
"10-18","19"
"10-19","14"
"10-20","18"
"10-21","9"
"10-22","10"
"10-23","20"
"11-15","20"
"11-16","16"
"11-17","7"
"11-18","13"
"11-19","11"
"11-20","18"
"11-21","11"
"11-22","5"
"11-23","7"
"12-15","18"
"12-16","11"
"12-17","13"
"12-18","19"
"12-19","14"
"12-20","20"
"12-21","17"
"12-22","14"
"12-23","13"
"13-15","13"
"13-16","10"
"13-17","9"
"13-18","7"
"13-19","12"
"13-20","5"
"13-21","17"
"13-22","9"
"13-23","11"
"14-15","19"
"14-16","13"
"14-17","8"
"14-18","12"
"14-19","19"
"14-20","10"
"14-21","6"
"14-22","11"
"14-23","13"
"15-20","5"
"15-21","20"
"15-22","19"
"15-23","16"
"16-20","8"
"16-21","7"
"16-22","20"
"16-23","15"
"17-20","9"
"17-21","14"
"17-22","20"
"17-23","6"
"18-20","15"
"18-21","18"
"18-22","19"
"18-23","20"
"19-20","7"
"19-21","14"
"19-22","19"
"19-23","20"
"2-10","18"
"2-11","8"
"2-12","9"
"2-13","9"
"2-14","13"
"2-15","6"
"2-16","15"
"2-17","10"
"2-18","17"
"2-19","18"
"2-20","13"
"2-21","20"
"2-22","10"
"2-23","11"
"2-5","14"
"2-6","7"
"2-7","15"
"2-8","9"
"2-9","9"
"3-10","16"
"3-11","5"
"3-12","11"
"3-13","14"
"3-14","19"
"3-15","7"
"3-16","16"
"3-17","5"
"3-18","6"
"3-19","7"
"3-20","6"
"3-21","17"
"3-22","9"
"3-23","18"
"3-5","13"
"3-6","9"
"3-7","11"
"3-8","19"
"3-9","18"
"4-10","11"
"4-11","17"
"4-12","13"
"4-13","13"
"4-14","16"
"4-15","14"
"4-16","20"
"4-17","18"
"4-18","18"
"4-19","19"
"4-20","12"
"4-21","13"
"4-22","8"
"4-23","18"
"4-5","5"
"4-6","8"
"4-7","16"
"4-8","17"
"4-9","16"
"5-10","8"
"5-11","8"
"5-12","19"
"5-13","13"
"5-14","9"
"5-15","10"
"5-16","12"
"5-17","20"
"5-18","6"
"5-19","17"
"5-20","13"
"5-21","16"
"5-22","14"
"5-23","14"
"6-10","14"
"6-11","15"
"6-12","13"
"6-13","18"
"6-14","20"
"6-15","17"
"6-16","14"
"6-17","8"
"6-18","5"
"6-19","18"
"6-20","17"
"6-21","18"
"6-22","15"
"6-23","9"
"7-10","13"
"7-11","9"
"7-12","9"
"7-13","16"
"7-14","7"
"7-15","15"
"7-16","10"
"7-17","5"
"7-18","20"
"7-19","8"
"7-20","9"
"7-21","16"
"7-22","11"
"7-23","8"
"8-10","20"
"8-11","6"
"8-12","14"
"8-13","14"
"8-14","5"
"8-15","13"
"8-16","10"
"8-17","17"
"8-18","18"
"8-19","17"
"8-20","13"
"8-21","10"
"8-22","20"
"8-23","7"
"9-10","9"
"9-11","19"
"9-12","10"
"9-13","17"
"9-14","6"
"9-15","14"
"9-16","15"
"9-17","17"
"9-18","12"
"9-19","9"
"9-20","9"
"9-21","17"
"9-22","16"
"9-23","16"
