"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"7","1","48","56","66"
"7","10","53","58","60"
"7","11","56","57","62"
"7","12","56","58","68"
"7","13","36","41","50"
"7","14","33","43","51"
"7","15","52","60","69"
"7","16","49","56","59"
"7","17","47","57","62"
"7","18","31","40","45"
"7","19","56","57","59"
"7","2","58","60","68"
"7","20","34","44","52"
"7","21","44","52","61"
"7","22","45","47","53"
"7","23","37","41","51"
"7","24","44","50","56"
"7","25","50","53","62"
"7","26","38","48","49"
"7","27","46","49","53"
"7","28","43","50","53"
"7","3","41","43","45"
"7","4","42","43","50"
"7","5","50","51","61"
"7","6","36","44","46"
"7","7","48","57","62"
"7","8","43","52","60"
"7","9","43","52","54"
"8","29","45","55","61"
"8","30","43","45","54"
"8","31","43","46","47"
"8","32","40","41","46"
"8","33","55","58","60"
"8","34","49","50","56"
"8","35","52","59","61"
"8","36","40","45","50"
"8","37","49","51","58"
"8","38","48","53","57"
"8","39","54","56","62"
"8","40","52","60","69"
"8","41","39","44","51"
"8","42","34","43","51"
"8","43","47","51","57"
"8","44","41","50","59"
"8","45","39","46","50"
"8","46","37","40","48"
"8","47","33","41","51"
"8","48","37","41","47"
"8","49","38","41","50"
"8","50","50","51","59"
"8","51","54","59","66"
"8","52","46","55","61"
"8","53","40","44","53"
"8","54","40","44","51"
"8","55","45","50","57"
"8","56","50","56","66"
"9","57","45","50","55"
"9","58","42","47","55"
"9","59","41","43","48"
"9","60","58","60","70"
"9","61","45","49","55"
"9","62","45","53","62"
"9","63","39","44","49"
"9","64","36","46","56"
"9","65","55","59","60"
"9","66","54","55","58"
"9","67","49","50","59"
"9","68","49","54","55"
"9","69","42","44","50"
"9","70","39","46","52"
"9","71","52","59","69"
"9","72","50","54","56"
"9","73","47","51","57"
"9","74","39","46","52"
"9","75","44","47","50"
"9","76","55","57","63"
"9","77","35","43","48"
"9","78","43","48","57"
"9","79","43","48","55"
"9","80","33","41","44"
"9","81","52","53","63"
"9","82","36","45","46"
"9","83","51","54","56"
"9","84","38","40","45"
"10","100","47","56","64"
"10","101","34","40","50"
"10","102","51","56","57"
"10","103","45","51","54"
"10","104","51","56","64"
"10","105","45","53","63"
"10","106","41","43","52"
"10","107","53","57","64"
"10","108","57","60","70"
"10","109","40","46","47"
"10","110","58","59","66"
"10","111","50","60","65"
"10","112","36","46","54"
"10","85","39","45","55"
"10","86","44","47","49"
"10","87","58","60","69"
"10","88","46","50","58"
"10","89","51","53","56"
"10","90","33","40","46"
"10","91","40","42","47"
"10","92","54","57","62"
"10","93","33","43","48"
"10","94","40","47","56"
"10","95","47","52","62"
"10","96","41","43","46"
"10","97","36","41","50"
"10","98","44","46","56"
"10","99","38","42","45"
