"Transport_line","Transport_Time"
"0-10","8"
"0-11","6"
"0-12","10"
"0-13","5"
"0-14","19"
"0-15","11"
"0-5","6"
"0-6","9"
"0-7","12"
"0-8","16"
"0-9","13"
"1-10","11"
"1-11","12"
"1-12","14"
"1-13","5"
"1-14","13"
"1-15","11"
"1-5","14"
"1-6","16"
"1-7","5"
"1-8","5"
"1-9","10"
"10-13","13"
"10-14","18"
"10-15","8"
"11-13","9"
"11-14","14"
"11-15","20"
"12-13","13"
"12-14","18"
"12-15","9"
"2-10","5"
"2-11","19"
"2-12","12"
"2-13","9"
"2-14","5"
"2-15","20"
"2-5","13"
"2-6","5"
"2-7","20"
"2-8","13"
"2-9","15"
"3-10","12"
"3-11","8"
"3-12","15"
"3-13","5"
"3-14","11"
"3-15","5"
"3-5","17"
"3-6","13"
"3-7","18"
"3-8","20"
"3-9","12"
"4-10","15"
"4-11","15"
"4-12","9"
"4-13","14"
"4-14","18"
"4-15","8"
"4-5","10"
"4-6","20"
"4-7","8"
"4-8","15"
"4-9","16"
"5-10","19"
"5-11","20"
"5-12","19"
"5-13","14"
"5-14","18"
"5-15","7"
"5-9","18"
"6-10","10"
"6-11","11"
"6-12","16"
"6-13","7"
"6-14","10"
"6-15","9"
"6-9","7"
"7-10","7"
"7-11","5"
"7-12","12"
"7-13","18"
"7-14","13"
"7-15","19"
"7-9","8"
"8-10","14"
"8-11","11"
"8-12","6"
"8-13","17"
"8-14","13"
"8-15","12"
"8-9","10"
"9-13","7"
"9-14","17"
"9-15","6"
