"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"19","1","35","44","50"
"19","10","41","51","58"
"19","11","36","43","50"
"19","12","42","47","52"
"19","13","41","51","59"
"19","14","42","47","48"
"19","15","41","48","50"
"19","16","46","51","59"
"19","17","34","42","51"
"19","18","37","41","46"
"19","19","46","56","61"
"19","2","43","45","47"
"19","20","32","41","47"
"19","21","38","43","52"
"19","3","49","54","61"
"19","4","40","45","47"
"19","5","49","53","55"
"19","6","44","47","48"
"19","7","49","53","62"
"19","8","51","56","60"
"19","9","40","44","52"
"20","22","46","50","59"
"20","23","46","54","57"
"20","24","36","43","49"
"20","25","46","48","56"
"20","26","31","41","50"
"20","27","47","50","54"
"20","28","53","58","64"
"20","29","53","59","62"
"20","30","51","55","64"
"20","31","48","54","57"
"20","32","50","51","60"
"20","33","44","50","54"
"20","34","45","47","55"
"20","35","39","49","55"
"20","36","55","60","68"
"20","37","56","59","65"
"20","38","34","42","49"
"20","39","48","50","60"
"20","40","33","42","43"
"20","41","45","47","54"
"20","42","37","42","45"
"21","43","35","45","49"
"21","44","46","55","62"
"21","45","52","57","63"
"21","46","51","56","66"
"21","47","50","52","56"
"21","48","50","56","57"
"21","49","32","42","43"
"21","50","45","51","52"
"21","51","41","51","52"
"21","52","51","55","57"
"21","53","38","45","51"
"21","54","55","60","66"
"21","55","45","46","48"
"21","56","47","57","60"
"21","57","53","54","62"
"21","58","53","55","57"
"21","59","44","52","56"
"21","60","43","47","49"
"21","61","49","59","66"
"21","62","46","54","64"
"21","63","35","40","49"
"22","64","54","58","62"
"22","65","50","57","58"
"22","66","44","47","53"
"22","67","52","60","69"
"22","68","36","41","43"
"22","69","52","55","64"
"22","70","38","42","51"
"22","71","42","48","50"
"22","72","55","57","66"
"22","73","43","49","54"
"22","74","49","56","57"
"22","75","34","41","46"
"22","76","37","42","45"
"22","77","41","46","51"
"22","78","43","50","57"
"22","79","48","50","54"
"22","80","35","44","45"
"22","81","37","41","46"
"22","82","38","47","55"
"22","83","41","43","51"
"22","84","40","43","46"
"23","100","51","54","56"
"23","101","52","57","59"
"23","102","40","43","51"
"23","103","33","42","44"
"23","104","48","56","63"
"23","105","41","48","54"
"23","85","56","58","63"
"23","86","43","45","53"
"23","87","48","57","66"
"23","88","39","44","45"
"23","89","52","55","58"
"23","90","42","47","49"
"23","91","47","48","58"
"23","92","41","47","52"
"23","93","47","49","51"
"23","94","48","52","61"
"23","95","47","56","62"
"23","96","42","48","50"
"23","97","39","47","55"
"23","98","44","48","50"
"23","99","47","53","58"
