"ChargeID","CastID","CC","ChargeRoute"
"1","1","19","0-1-2-3-4-5"
"2","1","19","1-2-3-5"
"3","1","19","1-3-5"
"4","1","19","0-1-2-3-4-5"
"5","1","19","0-1-2-4-5"
"6","1","19","0-2-3-4-5"
"7","1","19","2-3-5"
"8","2","19","0-3-5"
"9","2","19","0-1-2-3-4-5"
"10","2","19","0-1-5"
"11","2","19","0-1-2-3-5"
"12","2","19","0-3-4-5"
"13","2","19","1-2-3-4-5"
"14","2","19","0-1-2-4-5"
"15","3","19","1-2-3-4-5"
"16","3","19","1-3-4-5"
"17","3","19","0-1-3-5"
"18","3","19","1-2-3-4-5"
"19","3","19","1-3-5"
"20","3","19","0-1-2-4-5"
"21","3","19","0-1-2-3-5"
"22","4","20","2-3-4-5"
"23","4","20","0-1-4-5"
"24","4","20","0-2-3-4-5"
"25","4","20","1-2-3-4-5"
"26","4","20","0-1-2-3-4-5"
"27","4","20","0-1-2-3-4-5"
"28","4","20","0-4-5"
"29","5","20","0-2-3-5"
"30","5","20","0-1-2-3-4-5"
"31","5","20","0-2-4-5"
"32","5","20","0-1-3-4-5"
"33","5","20","0-1-3-5"
"34","5","20","0-1-3-4-5"
"35","5","20","0-1-2-3-4-5"
"36","6","20","1-2-5"
"37","6","20","0-2-4-5"
"38","6","20","0-1-5"
"39","6","20","0-2-3-5"
"40","6","20","1-2-3-5"
"41","6","20","1-3-4-5"
"42","6","20","0-2-3-5"
"43","7","21","0-1-2-4-5"
"44","7","21","0-2-3-5"
"45","7","21","1-2-3-4-5"
"46","7","21","0-1-5"
"47","7","21","0-3-4-5"
"48","7","21","1-3-4-5"
"49","7","21","0-3-5"
"50","8","21","1-2-3-4-5"
"51","8","21","2-3-4-5"
"52","8","21","0-1-2-3-4-5"
"53","8","21","0-1-2-3-4-5"
"54","8","21","1-3-4-5"
"55","8","21","1-3-4-5"
"56","8","21","0-2-3-4-5"
"57","9","21","0-1-3-4-5"
"58","9","21","1-2-4-5"
"59","9","21","0-1-2-5"
"60","9","21","0-2-3-4-5"
"61","9","21","0-1-2-3-4-5"
"62","9","21","0-2-3-4-5"
"63","9","21","1-2-3-4-5"
"64","10","22","1-2-5"
"65","10","22","0-1-2-3-4-5"
"66","10","22","1-4-5"
"67","10","22","0-3-5"
"68","10","22","2-3-4-5"
"69","10","22","0-1-3-4-5"
"70","10","22","0-1-3-4-5"
"71","11","22","0-2-3-4-5"
"72","11","22","0-1-2-5"
"73","11","22","0-1-3-5"
"74","11","22","0-2-3-4-5"
"75","11","22","1-2-3-4-5"
"76","11","22","0-1-2-3-4-5"
"77","11","22","0-2-3-4-5"
"78","12","22","0-3-4-5"
"79","12","22","0-1-4-5"
"80","12","22","2-3-4-5"
"81","12","22","0-1-2-3-4-5"
"82","12","22","3-4-5"
"83","12","22","1-3-5"
"84","12","22","0-2-3-4-5"
"85","13","23","2-4-5"
"86","13","23","0-3-5"
"87","13","23","1-2-3-5"
"88","13","23","0-4-5"
"89","13","23","1-2-3-4-5"
"90","13","23","0-1-2-3-4-5"
"91","13","23","2-4-5"
"92","14","23","1-2-3-4-5"
"93","14","23","0-3-4-5"
"94","14","23","1-2-3-4-5"
"95","14","23","0-1-2-3-4-5"
"96","14","23","0-1-2-3-5"
"97","14","23","0-1-2-3-4-5"
"98","14","23","0-3-4-5"
"99","15","23","0-1-2-4-5"
"100","15","23","1-2-3-4-5"
"101","15","23","1-2-3-5"
"102","15","23","0-1-2-4-5"
"103","15","23","1-2-3-5"
"104","15","23","0-3-4-5"
