"Transport_line","Transport_Time"
"0-10","7"
"0-11","9"
"0-12","5"
"0-13","6"
"0-14","18"
"0-15","6"
"0-16","19"
"0-17","12"
"0-18","20"
"0-19","19"
"0-20","20"
"0-21","19"
"0-22","12"
"0-23","18"
"0-4","18"
"0-5","12"
"0-6","20"
"0-7","9"
"0-8","17"
"0-9","17"
"1-10","13"
"1-11","14"
"1-12","13"
"1-13","11"
"1-14","19"
"1-15","18"
"1-16","12"
"1-17","11"
"1-18","19"
"1-19","16"
"1-20","15"
"1-21","15"
"1-22","18"
"1-23","18"
"1-4","14"
"1-5","16"
"1-6","12"
"1-7","15"
"1-8","16"
"1-9","15"
"10-12","14"
"10-13","9"
"10-14","13"
"10-15","6"
"10-16","15"
"10-17","6"
"10-18","14"
"10-19","16"
"10-20","12"
"10-21","12"
"10-22","15"
"10-23","19"
"11-12","5"
"11-13","18"
"11-14","14"
"11-15","17"
"11-16","13"
"11-17","10"
"11-18","20"
"11-19","8"
"11-20","20"
"11-21","8"
"11-22","19"
"11-23","13"
"12-16","5"
"12-17","7"
"12-18","14"
"12-19","5"
"12-20","16"
"12-21","9"
"12-22","13"
"12-23","10"
"13-16","11"
"13-17","14"
"13-18","16"
"13-19","11"
"13-20","5"
"13-21","7"
"13-22","20"
"13-23","5"
"14-16","11"
"14-17","11"
"14-18","20"
"14-19","17"
"14-20","14"
"14-21","9"
"14-22","18"
"14-23","14"
"15-16","5"
"15-17","15"
"15-18","6"
"15-19","17"
"15-20","15"
"15-21","10"
"15-22","6"
"15-23","9"
"16-19","11"
"16-20","15"
"16-21","7"
"16-22","8"
"16-23","12"
"17-19","10"
"17-20","18"
"17-21","15"
"17-22","7"
"17-23","5"
"18-19","11"
"18-20","9"
"18-21","15"
"18-22","11"
"18-23","14"
"2-10","5"
"2-11","12"
"2-12","19"
"2-13","9"
"2-14","10"
"2-15","13"
"2-16","16"
"2-17","19"
"2-18","11"
"2-19","15"
"2-20","11"
"2-21","16"
"2-22","11"
"2-23","9"
"2-4","20"
"2-5","12"
"2-6","16"
"2-7","16"
"2-8","9"
"2-9","19"
"3-10","18"
"3-11","8"
"3-12","7"
"3-13","16"
"3-14","6"
"3-15","19"
"3-16","13"
"3-17","17"
"3-18","15"
"3-19","6"
"3-20","10"
"3-21","7"
"3-22","16"
"3-23","7"
"3-4","16"
"3-5","11"
"3-6","9"
"3-7","15"
"3-8","16"
"3-9","17"
"4-10","8"
"4-11","11"
"4-12","14"
"4-13","15"
"4-14","12"
"4-15","6"
"4-16","10"
"4-17","20"
"4-18","19"
"4-19","14"
"4-20","19"
"4-21","18"
"4-22","12"
"4-23","12"
"4-9","14"
"5-10","5"
"5-11","20"
"5-12","7"
"5-13","11"
"5-14","17"
"5-15","11"
"5-16","11"
"5-17","18"
"5-18","9"
"5-19","13"
"5-20","8"
"5-21","15"
"5-22","16"
"5-23","15"
"5-9","17"
"6-10","10"
"6-11","14"
"6-12","9"
"6-13","8"
"6-14","13"
"6-15","5"
"6-16","19"
"6-17","6"
"6-18","8"
"6-19","5"
"6-20","19"
"6-21","15"
"6-22","6"
"6-23","12"
"6-9","14"
"7-10","6"
"7-11","16"
"7-12","18"
"7-13","12"
"7-14","13"
"7-15","16"
"7-16","5"
"7-17","9"
"7-18","7"
"7-19","9"
"7-20","16"
"7-21","9"
"7-22","19"
"7-23","5"
"7-9","6"
"8-10","20"
"8-11","6"
"8-12","15"
"8-13","11"
"8-14","19"
"8-15","7"
"8-16","18"
"8-17","9"
"8-18","18"
"8-19","17"
"8-20","17"
"8-21","20"
"8-22","6"
"8-23","5"
"8-9","17"
"9-12","9"
"9-13","6"
"9-14","16"
"9-15","14"
"9-16","20"
"9-17","16"
"9-18","18"
"9-19","9"
"9-20","15"
"9-21","10"
"9-22","18"
"9-23","20"
