"Transport_line","Transport_Time"
"0-10","11"
"0-11","6"
"0-12","17"
"0-13","12"
"0-3","15"
"0-4","19"
"0-5","9"
"0-6","16"
"0-7","5"
"0-8","14"
"0-9","11"
"1-10","7"
"1-11","16"
"1-12","6"
"1-13","6"
"1-3","12"
"1-4","7"
"1-5","20"
"1-6","5"
"1-7","8"
"1-8","6"
"1-9","7"
"10-11","9"
"10-12","7"
"10-13","16"
"2-10","16"
"2-11","20"
"2-12","17"
"2-13","10"
"2-3","14"
"2-4","16"
"2-5","13"
"2-6","14"
"2-7","19"
"2-8","9"
"2-9","10"
"3-10","9"
"3-11","12"
"3-12","15"
"3-13","13"
"3-8","19"
"3-9","8"
"4-10","8"
"4-11","5"
"4-12","5"
"4-13","14"
"4-8","15"
"4-9","20"
"5-10","18"
"5-11","20"
"5-12","15"
"5-13","12"
"5-8","7"
"5-9","17"
"6-10","14"
"6-11","11"
"6-12","6"
"6-13","6"
"6-8","8"
"6-9","17"
"7-10","14"
"7-11","12"
"7-12","15"
"7-13","11"
"7-8","19"
"7-9","19"
"8-11","9"
"8-12","12"
"8-13","15"
"9-11","20"
"9-12","10"
"9-13","12"
