"Transport_line","Transport_Time"
"0-10","8"
"0-11","8"
"0-4","10"
"0-5","20"
"0-6","20"
"0-7","13"
"0-8","5"
"0-9","20"
"1-10","6"
"1-11","17"
"1-4","6"
"1-5","15"
"1-6","6"
"1-7","10"
"1-8","19"
"1-9","9"
"2-10","10"
"2-11","17"
"2-4","10"
"2-5","5"
"2-6","12"
"2-7","17"
"2-8","8"
"2-9","14"
"3-10","5"
"3-11","11"
"3-4","12"
"3-5","5"
"3-6","7"
"3-7","9"
"3-8","12"
"3-9","12"
"4-10","19"
"4-11","16"
"4-9","6"
"5-10","9"
"5-11","16"
"5-9","16"
"6-10","20"
"6-11","5"
"6-9","19"
"7-10","15"
"7-11","5"
"7-9","20"
"8-10","12"
"8-11","14"
"8-9","16"
