"ChargeID","CastID","CC","ChargeRoute"
"1","1","9","0-1-2"
"2","1","9","0-1-2"
"3","1","9","0-1-2"
"4","1","9","0-1-2"
"5","1","9","0-1-2"
"6","1","9","0-1-2"
"7","1","9","0-1-2"
"8","2","9","0-1-2"
"9","2","9","0-1-2"
"10","2","9","0-1-2"
"11","2","9","0-1-2"
"12","2","9","0-1-2"
"13","2","9","0-1-2"
"14","2","9","0-1-2"
"15","3","9","0-1-2"
"16","3","9","0-1-2"
"17","3","9","0-1-2"
"18","3","9","0-1-2"
"19","3","9","0-1-2"
"20","3","9","0-1-2"
"21","3","9","0-1-2"
"22","4","10","0-1-2"
"23","4","10","0-1-2"
"24","4","10","0-1-2"
"25","4","10","0-1-2"
"26","4","10","0-1-2"
"27","4","10","0-1-2"
"28","4","10","0-1-2"
"29","5","10","0-1-2"
"30","5","10","0-1-2"
"31","5","10","0-1-2"
"32","5","10","0-1-2"
"33","5","10","0-1-2"
"34","5","10","0-1-2"
"35","5","10","0-1-2"
"36","6","10","0-1-2"
"37","6","10","0-1-2"
"38","6","10","0-1-2"
"39","6","10","0-1-2"
"40","6","10","0-1-2"
"41","6","10","0-1-2"
"42","6","10","0-1-2"
"43","7","11","0-1-2"
"44","7","11","0-1-2"
"45","7","11","0-1-2"
"46","7","11","0-1-2"
"47","7","11","0-1-2"
"48","7","11","0-1-2"
"49","7","11","0-1-2"
"50","8","11","0-1-2"
"51","8","11","0-1-2"
"52","8","11","0-1-2"
"53","8","11","0-1-2"
"54","8","11","0-1-2"
"55","8","11","0-1-2"
"56","8","11","0-1-2"
"57","9","11","0-1-2"
"58","9","11","0-1-2"
"59","9","11","0-1-2"
"60","9","11","0-1-2"
"61","9","11","0-1-2"
"62","9","11","0-1-2"
