"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"9","1","52","58","68"
"9","10","45","53","63"
"9","11","41","50","60"
"9","12","54","59","62"
"9","13","41","49","51"
"9","14","47","56","63"
"9","15","50","56","57"
"9","16","38","44","53"
"9","17","45","53","57"
"9","18","42","49","56"
"9","19","35","40","43"
"9","2","40","48","57"
"9","20","49","57","61"
"9","21","48","53","61"
"9","3","38","42","44"
"9","4","47","55","62"
"9","5","54","57","59"
"9","6","33","41","43"
"9","7","33","40","44"
"9","8","36","46","54"
"9","9","55","60","66"
"10","22","40","41","50"
"10","23","50","56","64"
"10","24","41","45","54"
"10","25","39","42","52"
"10","26","48","52","60"
"10","27","42","47","57"
"10","28","42","46","49"
"10","29","34","42","48"
"10","30","30","40","41"
"10","31","38","42","51"
"10","32","43","51","55"
"10","33","42","51","52"
"10","34","40","50","58"
"10","35","42","51","53"
"10","36","34","40","41"
"10","37","47","57","59"
"10","38","40","50","53"
"10","39","49","56","57"
"10","40","39","41","50"
"10","41","51","57","62"
"10","42","50","55","61"
"11","43","47","52","60"
"11","44","38","40","43"
"11","45","45","46","51"
"11","46","43","48","49"
"11","47","39","49","57"
"11","48","32","42","49"
"11","49","48","54","64"
"11","50","32","41","47"
"11","51","36","44","53"
"11","52","49","53","63"
"11","53","36","45","55"
"11","54","47","49","51"
"11","55","44","52","54"
"11","56","51","53","62"
"11","57","35","43","50"
"11","58","48","51","52"
"11","59","45","53","58"
"11","60","48","52","59"
"11","61","43","51","57"
"11","62","32","40","47"
"11","63","44","53","62"
