"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"17","1","42","46","50"
"17","10","42","44","53"
"17","11","35","45","53"
"17","12","42","43","46"
"17","13","56","57","66"
"17","14","49","55","60"
"17","15","51","53","57"
"17","16","47","55","59"
"17","17","43","45","52"
"17","18","47","57","67"
"17","19","42","44","45"
"17","2","42","47","49"
"17","20","49","56","65"
"17","21","49","51","61"
"17","22","46","54","58"
"17","23","45","49","52"
"17","24","51","60","63"
"17","25","37","41","45"
"17","26","43","53","59"
"17","27","33","41","45"
"17","28","37","47","54"
"17","3","49","53","62"
"17","4","40","44","46"
"17","5","41","49","57"
"17","6","50","51","53"
"17","7","52","54","64"
"17","8","42","52","62"
"17","9","44","51","53"
"18","29","51","52","62"
"18","30","35","41","43"
"18","31","48","58","64"
"18","32","37","42","49"
"18","33","37","47","57"
"18","34","39","40","49"
"18","35","40","49","53"
"18","36","30","40","44"
"18","37","36","45","47"
"18","38","35","41","48"
"18","39","45","48","51"
"18","40","48","49","51"
"18","41","36","46","53"
"18","42","58","59","62"
"18","43","38","46","53"
"18","44","34","42","49"
"18","45","36","41","50"
"18","46","35","42","50"
"18","47","44","51","58"
"18","48","34","40","43"
"18","49","52","56","57"
"18","50","47","57","64"
"18","51","39","46","51"
"18","52","34","41","43"
"18","53","36","44","51"
"18","54","49","52","58"
"18","55","58","60","69"
"18","56","46","54","61"
"19","57","42","46","47"
"19","58","40","44","52"
"19","59","33","40","43"
"19","60","50","56","60"
"19","61","54","57","59"
"19","62","45","47","54"
"19","63","54","55","62"
"19","64","44","47","53"
"19","65","31","41","44"
"19","66","34","41","45"
"19","67","47","56","61"
"19","68","46","48","51"
"19","69","54","56","62"
"19","70","47","57","64"
"19","71","42","47","48"
"19","72","40","45","51"
"19","73","31","40","41"
"19","74","54","60","64"
"19","75","41","47","52"
"19","76","52","58","64"
"19","77","45","48","53"
"19","78","38","43","49"
"19","79","55","60","61"
"19","80","55","58","59"
"19","81","42","47","48"
"19","82","53","54","57"
"19","83","33","43","52"
"19","84","49","55","61"
"20","100","40","47","51"
"20","101","39","47","55"
"20","102","47","52","54"
"20","103","49","59","66"
"20","104","47","51","60"
"20","105","50","52","58"
"20","106","42","47","57"
"20","107","51","52","61"
"20","108","48","52","54"
"20","109","50","60","64"
"20","110","57","60","65"
"20","111","35","42","46"
"20","112","51","53","62"
"20","85","40","49","57"
"20","86","44","52","54"
"20","87","38","43","49"
"20","88","31","41","51"
"20","89","38","48","58"
"20","90","35","43","52"
"20","91","51","59","64"
"20","92","33","40","49"
"20","93","39","43","52"
"20","94","54","56","58"
"20","95","34","42","46"
"20","96","48","50","59"
"20","97","50","58","63"
"20","98","48","54","58"
"20","99","35","44","52"
