"StageID","ChargeID","MinTime","Standard_Time","MaxTime"
"0","1","38","40","49"
"0","100","26","33","36"
"0","101","40","44","49"
"0","103","35","43","50"
"0","104","14","21","28"
"0","105","33","36","41"
"0","109","47","48","55"
"0","11","37","46","51"
"0","110","43","46","55"
"0","111","13","23","32"
"0","112","16","21","31"
"0","12","28","29","34"
"0","13","42","43","49"
"0","14","14","24","34"
"0","15","16","22","26"
"0","17","41","46","53"
"0","18","22","25","28"
"0","2","37","44","46"
"0","20","17","26","33"
"0","23","25","32","40"
"0","25","27","36","46"
"0","26","39","49","56"
"0","27","12","21","31"
"0","28","22","25","28"
"0","29","29","30","32"
"0","3","33","39","45"
"0","30","27","33","35"
"0","32","38","43","47"
"0","33","39","47","57"
"0","34","27","35","39"
"0","36","26","32","41"
"0","37","29","38","42"
"0","38","42","45","53"
"0","39","24","25","34"
"0","40","34","39","40"
"0","41","37","40","50"
"0","42","40","49","53"
"0","43","24","31","38"
"0","44","26","30","33"
"0","45","39","44","45"
"0","46","29","39","44"
"0","49","22","28","31"
"0","5","40","47","50"
"0","54","20","24","30"
"0","56","31","41","46"
"0","57","26","29","34"
"0","58","39","43","45"
"0","59","45","46","48"
"0","6","16","22","28"
"0","60","36","38","46"
"0","61","21","29","36"
"0","62","25","34","42"
"0","65","41","43","51"
"0","66","25","35","38"
"0","67","11","20","22"
"0","69","47","48","54"
"0","7","27","29","39"
"0","70","43","44","52"
"0","71","21","29","35"
"0","72","17","27","30"
"0","73","39","41","44"
"0","74","25","31","32"
"0","75","33","39","43"
"0","77","34","40","46"
"0","8","33","41","47"
"0","81","25","33","42"
"0","82","36","44","51"
"0","83","37","47","52"
"0","84","41","43","53"
"0","85","44","49","52"
"0","86","39","40","48"
"0","88","25","32","42"
"0","89","33","42","51"
"0","92","43","46","48"
"0","93","29","36","37"
"0","94","37","40","42"
"0","95","18","23","25"
"0","96","29","37","38"
"0","97","28","30","33"
"0","98","27","30","34"
"0","99","43","49","54"
"1","10","21","29","34"
"1","100","31","33","35"
"1","101","21","30","31"
"1","105","27","32","40"
"1","106","37","42","49"
"1","107","26","28","30"
"1","108","36","40","50"
"1","11","32","40","43"
"1","110","49","50","57"
"1","111","42","46","50"
"1","112","31","39","45"
"1","12","17","24","30"
"1","13","25","33","38"
"1","14","40","46","54"
"1","16","31","37","40"
"1","17","25","31","39"
"1","18","14","24","28"
"1","19","43","46","55"
"1","20","30","37","46"
"1","21","19","22","32"
"1","22","35","37","41"
"1","23","39","49","58"
"1","24","29","33","39"
"1","25","23","28","34"
"1","26","14","20","26"
"1","29","29","37","39"
"1","3","47","49","59"
"1","31","29","32","37"
"1","32","23","26","27"
"1","33","46","49","59"
"1","34","12","20","29"
"1","35","18","21","25"
"1","37","15","21","31"
"1","38","21","29","33"
"1","39","41","45","46"
"1","4","21","28","38"
"1","40","23","27","31"
"1","41","23","32","38"
"1","42","38","41","48"
"1","43","35","38","39"
"1","44","26","33","34"
"1","45","27","31","41"
"1","46","41","44","46"
"1","47","29","36","42"
"1","49","19","23","33"
"1","51","29","36","45"
"1","52","24","28","37"
"1","53","19","24","27"
"1","54","25","32","40"
"1","55","25","26","32"
"1","56","18","23","31"
"1","58","35","38","44"
"1","59","19","28","34"
"1","6","41","50","56"
"1","60","18","21","24"
"1","63","33","42","46"
"1","64","21","27","30"
"1","66","37","38","48"
"1","67","23","24","30"
"1","68","21","22","29"
"1","7","44","46","51"
"1","70","39","44","50"
"1","71","31","38","43"
"1","72","46","50","59"
"1","74","39","45","50"
"1","76","26","30","36"
"1","77","40","47","54"
"1","78","33","36","42"
"1","79","26","30","36"
"1","80","18","25","34"
"1","82","26","31","32"
"1","83","31","37","45"
"1","88","34","35","38"
"1","89","40","43","47"
"1","9","17","24","33"
"1","90","32","38","40"
"1","92","24","25","27"
"1","93","48","49","53"
"1","94","21","27","34"
"1","98","36","43","48"
"1","99","30","34","44"
"2","1","43","44","53"
"2","102","43","48","49"
"2","103","27","29","39"
"2","105","13","20","21"
"2","106","13","22","26"
"2","107","41","42","50"
"2","108","18","28","34"
"2","109","36","45","46"
"2","11","38","41","50"
"2","110","47","49","51"
"2","111","39","42","44"
"2","12","16","23","30"
"2","15","39","41","49"
"2","16","12","22","25"
"2","18","13","22","25"
"2","19","17","22","25"
"2","20","10","20","23"
"2","21","40","45","47"
"2","25","22","23","24"
"2","26","45","49","54"
"2","27","41","46","53"
"2","28","29","32","40"
"2","29","38","48","49"
"2","3","35","37","44"
"2","30","44","49","57"
"2","31","33","42","52"
"2","33","34","40","42"
"2","34","10","20","25"
"2","35","14","24","26"
"2","36","38","40","45"
"2","38","28","35","37"
"2","40","38","41","46"
"2","41","18","21","30"
"2","42","23","25","32"
"2","43","21","27","37"
"2","44","32","38","42"
"2","45","42","48","49"
"2","46","41","44","46"
"2","47","21","24","30"
"2","48","38","48","49"
"2","49","45","49","51"
"2","5","32","33","42"
"2","50","44","49","56"
"2","51","24","29","36"
"2","53","20","30","37"
"2","55","30","40","44"
"2","56","38","43","46"
"2","57","19","23","33"
"2","58","17","25","26"
"2","6","45","50","57"
"2","62","24","25","28"
"2","63","30","40","50"
"2","64","24","32","41"
"2","65","39","40","42"
"2","66","41","45","53"
"2","67","44","48","56"
"2","68","33","36","44"
"2","69","33","39","43"
"2","7","37","39","48"
"2","71","40","45","51"
"2","72","28","36","45"
"2","75","25","28","38"
"2","76","20","21","23"
"2","78","37","46","50"
"2","8","41","50","51"
"2","80","21","24","32"
"2","82","30","38","46"
"2","83","34","36","44"
"2","84","28","33","43"
"2","85","30","40","49"
"2","86","43","50","54"
"2","87","24","32","40"
"2","88","25","31","34"
"2","90","49","50","54"
"2","91","17","23","30"
"2","93","14","21","29"
"2","94","36","42","46"
"2","95","10","20","24"
"2","97","35","44","52"
"2","98","37","47","53"
"2","99","26","34","41"
"3","1","40","42","48"
"3","10","14","23","29"
"3","100","35","45","46"
"3","101","25","28","36"
"3","102","22","30","35"
"3","103","29","30","31"
"3","106","17","21","27"
"3","107","23","25","31"
"3","109","40","46","56"
"3","11","28","38","48"
"3","111","37","39","44"
"3","13","28","34","37"
"3","15","12","21","27"
"3","16","14","22","23"
"3","18","39","46","51"
"3","19","33","40","41"
"3","2","45","48","54"
"3","20","30","32","42"
"3","22","17","21","22"
"3","27","13","22","27"
"3","28","17","20","25"
"3","29","38","39","49"
"3","3","24","26","30"
"3","30","43","45","54"
"3","32","19","26","35"
"3","33","46","50","60"
"3","35","32","34","36"
"3","36","34","40","47"
"3","37","32","34","38"
"3","38","41","46","55"
"3","39","19","24","27"
"3","4","33","34","35"
"3","40","33","40","42"
"3","41","21","25","34"
"3","43","15","20","24"
"3","44","21","27","31"
"3","45","24","34","42"
"3","46","36","44","45"
"3","47","31","38","41"
"3","48","45","49","59"
"3","49","21","31","41"
"3","50","37","40","42"
"3","51","38","43","50"
"3","52","17","20","28"
"3","57","38","40","47"
"3","58","37","41","48"
"3","59","38","46","56"
"3","6","33","36","44"
"3","60","38","41","51"
"3","61","26","32","36"
"3","62","44","47","51"
"3","63","18","20","24"
"3","64","40","45","49"
"3","65","40","50","55"
"3","66","31","35","44"
"3","67","30","35","40"
"3","7","36","42","48"
"3","70","19","22","31"
"3","71","30","31","40"
"3","72","25","30","33"
"3","74","42","49","53"
"3","76","15","22","27"
"3","77","35","37","47"
"3","78","21","30","31"
"3","79","42","49","52"
"3","81","42","45","50"
"3","82","37","42","43"
"3","83","17","25","27"
"3","84","32","37","45"
"3","85","39","42","50"
"3","86","27","37","41"
"3","87","24","34","41"
"3","88","37","39","40"
"3","90","25","32","42"
"3","91","26","30","34"
"3","92","26","36","45"
"3","94","38","39","49"
"3","95","11","20","27"
"3","99","29","30","33"
"4","1","32","35","43"
"4","10","26","30","37"
