"Transport_line","Transport_Time"
"0-10","20"
"0-11","15"
"0-12","8"
"0-13","14"
"0-14","13"
"0-15","17"
"0-16","14"
"0-17","5"
"0-18","7"
"0-19","16"
"0-20","12"
"0-4","18"
"0-5","7"
"0-6","14"
"0-7","8"
"0-8","15"
"0-9","7"
"1-10","6"
"1-11","5"
"1-12","5"
"1-13","9"
"1-14","7"
"1-15","19"
"1-16","11"
"1-17","11"
"1-18","17"
"1-19","18"
"1-20","6"
"1-4","16"
"1-5","12"
"1-6","15"
"1-7","7"
"1-8","12"
"1-9","20"
"10-11","8"
"10-12","20"
"10-13","13"
"10-14","6"
"10-15","11"
"10-16","11"
"10-17","13"
"10-18","20"
"10-19","7"
"10-20","20"
"11-14","14"
"11-15","15"
"11-16","10"
"11-17","18"
"11-18","19"
"11-19","17"
"11-20","5"
"12-14","14"
"12-15","19"
"12-16","17"
"12-17","20"
"12-18","7"
"12-19","18"
"12-20","6"
"13-14","15"
"13-15","8"
"13-16","16"
"13-17","15"
"13-18","12"
"13-19","9"
"13-20","17"
"14-17","18"
"14-18","8"
"14-19","8"
"14-20","13"
"15-17","19"
"15-18","6"
"15-19","9"
"15-20","8"
"16-17","7"
"16-18","7"
"16-19","11"
"16-20","20"
"2-10","17"
"2-11","17"
"2-12","6"
"2-13","7"
"2-14","5"
"2-15","8"
"2-16","10"
"2-17","17"
"2-18","8"
"2-19","9"
"2-20","6"
"2-4","5"
"2-5","20"
"2-6","17"
"2-7","7"
"2-8","16"
"2-9","7"
"3-10","19"
"3-11","18"
"3-12","13"
"3-13","9"
"3-14","14"
"3-15","16"
"3-16","11"
"3-17","5"
"3-18","10"
"3-19","12"
"3-20","17"
"3-4","18"
"3-5","20"
"3-6","10"
"3-7","5"
"3-8","13"
"3-9","16"
"4-10","16"
"4-11","16"
"4-12","8"
"4-13","12"
"4-14","10"
"4-15","15"
"4-16","6"
"4-17","12"
"4-18","12"
"4-19","5"
"4-20","12"
"4-8","20"
"4-9","6"
"5-10","10"
"5-11","6"
"5-12","11"
"5-13","15"
"5-14","9"
"5-15","12"
"5-16","13"
"5-17","10"
"5-18","8"
"5-19","15"
"5-20","20"
"5-8","11"
"5-9","20"
"6-10","20"
"6-11","12"
"6-12","11"
"6-13","6"
"6-14","15"
"6-15","11"
"6-16","14"
"6-17","17"
"6-18","20"
"6-19","7"
"6-20","15"
"6-8","9"
"6-9","11"
"7-10","8"
"7-11","5"
"7-12","20"
"7-13","16"
"7-14","14"
"7-15","15"
"7-16","13"
"7-17","20"
"7-18","6"
"7-19","10"
"7-20","18"
"7-8","17"
"7-9","9"
"8-11","18"
"8-12","10"
"8-13","7"
"8-14","18"
"8-15","11"
"8-16","7"
"8-17","13"
"8-18","10"
"8-19","6"
"8-20","19"
"9-11","11"
"9-12","10"
"9-13","11"
"9-14","14"
"9-15","17"
"9-16","20"
"9-17","13"
"9-18","8"
"9-19","15"
"9-20","20"
