"ChargeID","CastID","CC","ChargeRoute"
"1","1","17","0-2-3-4-5"
"2","1","17","0-3-5"
"3","1","17","0-1-2-3-4-5"
"4","1","17","1-3-4-5"
"5","1","17","0-2-4-5"
"6","1","17","0-1-2-3-4-5"
"7","1","17","0-1-2-3-4-5"
"8","2","17","0-2-4-5"
"9","2","17","1-4-5"
"10","2","17","1-3-4-5"
"11","2","17","0-1-2-3-4-5"
"12","2","17","0-1-2-4-5"
"13","2","17","0-1-3-4-5"
"14","2","17","0-1-5"
"15","3","17","0-2-3-4-5"
"16","3","17","1-2-3-4-5"
"17","3","17","0-1-4-5"
"18","3","17","0-1-2-3-4-5"
"19","3","17","1-2-3-5"
"20","3","17","0-1-2-3-5"
"21","3","17","1-2-4-5"
"22","4","17","1-3-5"
"23","4","17","0-1-5"
"24","4","17","1-4-5"
"25","4","17","0-1-2-4-5"
"26","4","17","0-1-2-4-5"
"27","4","17","0-2-3-4-5"
"28","4","17","0-2-3-5"
"29","5","18","0-1-2-3-4-5"
"30","5","18","0-2-3-4-5"
"31","5","18","1-2-5"
"32","5","18","0-1-3-4-5"
"33","5","18","0-1-2-3-4-5"
"34","5","18","0-1-2-5"
"35","5","18","1-2-3-5"
"36","6","18","0-2-3-4-5"
"37","6","18","0-1-3-5"
"38","6","18","0-1-2-3-4-5"
"39","6","18","0-1-3-4-5"
"40","6","18","0-1-2-3-4-5"
"41","6","18","0-1-2-3-4-5"
"42","6","18","0-1-2-5"
"43","7","18","0-1-2-3-4-5"
"44","7","18","0-1-2-3-5"
"45","7","18","0-1-2-3-4-5"
"46","7","18","0-1-2-3-5"
"47","7","18","1-2-3-4-5"
"48","7","18","2-3-4-5"
"49","7","18","0-1-2-3-4-5"
"50","8","18","2-3-4-5"
"51","8","18","1-2-3-5"
"52","8","18","1-3-4-5"
"53","8","18","1-2-4-5"
"54","8","18","0-1-4-5"
"55","8","18","1-2-4-5"
"56","8","18","0-1-2-4-5"
"57","9","19","0-2-3-5"
"58","9","19","0-1-2-3-4-5"
"59","9","19","0-1-3-4-5"
"60","9","19","0-1-3-4-5"
"61","9","19","0-3-5"
"62","9","19","0-2-3-4-5"
"63","9","19","1-2-3-4-5"
"64","10","19","1-2-3-5"
"65","10","19","0-2-3-4-5"
"66","10","19","0-1-2-3-4-5"
"67","10","19","0-1-2-3-4-5"
"68","10","19","1-2-4-5"
"69","10","19","0-2-4-5"
"70","10","19","0-1-3-4-5"
"71","11","19","0-1-2-3-5"
"72","11","19","0-1-2-3-4-5"
"73","11","19","0-4-5"
"74","11","19","0-1-3-4-5"
"75","11","19","0-2-4-5"
"76","11","19","1-2-3-5"
"77","11","19","0-1-3-4-5"
"78","12","19","1-2-3-5"
"79","12","19","1-3-5"
"80","12","19","1-2-4-5"
"81","12","19","0-3-4-5"
"82","12","19","0-1-2-3-4-5"
"83","12","19","0-1-2-3-4-5"
"84","12","19","0-2-3-4-5"
"85","13","20","0-2-3-4-5"
"86","13","20","0-2-3-4-5"
"87","13","20","2-3-4-5"
"88","13","20","0-1-2-3-5"
"89","13","20","0-1-5"
"90","13","20","1-2-3-4-5"
"91","13","20","2-3-5"
"92","14","20","0-1-3-4-5"
"93","14","20","0-1-2-4-5"
"94","14","20","0-1-2-3-4-5"
"95","14","20","0-2-3-4-5"
"96","14","20","0-4-5"
"97","14","20","0-2-5"
"98","14","20","0-1-2-4-5"
"99","15","20","0-1-2-3-4-5"
"100","15","20","0-1-3-4-5"
"101","15","20","0-1-3-4-5"
"102","15","20","2-3-4-5"
"103","15","20","0-2-3-4-5"
"104","15","20","0-4-5"
"105","15","20","0-1-2-4-5"
"106","16","20","1-2-3-5"
"107","16","20","1-2-3-4-5"
"108","16","20","1-2-4-5"
"109","16","20","0-2-3-5"
"110","16","20","0-1-2-5"
"111","16","20","0-1-2-3-5"
